Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1501232400.0 1.0 53 67 121 NA NA NA NA NA 106 107 178 NA NA NA NA NA 3315 502 478 NA NA NA NA NA 7054 1285 1049 NA NA NA NA NA
1501232400.0 10.0 NA 94 228 0 NA NA NA NA NA 170 276 0 NA NA NA NA NA 4850 5025 1037 NA NA NA NA NA 12604 12529 2628 NA NA NA NA
1501232400.0 1000.0 NA 273 148 0 64 NA NA NA NA 345 227 0 87 NA NA NA NA 5023 1080 1745 262 NA NA NA NA 12926 3116 4164 799 NA NA NA
1501232400.0 10001.0 NA 147 NA NA NA NA NA NA NA 222 NA NA NA NA NA NA NA 556 NA NA NA NA NA NA NA 1911 NA NA NA NA NA NA
1501232400.0 10002.0 NA 149 NA NA NA NA NA NA NA 224 NA NA NA NA NA NA NA 622 NA NA NA NA NA NA NA 2321 NA NA NA NA NA NA
1501232400.0 10003.0 NA 149 NA NA NA NA NA NA NA 223 NA NA NA NA NA NA NA 590 NA NA NA NA NA NA NA 2176 NA NA NA NA NA NA
1501232400.0 10004.0 NA 148 NA NA NA NA NA NA NA 224 NA NA NA NA NA NA NA 554 NA NA NA NA NA NA NA 1737 NA NA NA NA NA NA
1501232400.0 10005.0 NA 149 NA NA NA NA NA NA NA 224 NA NA NA NA NA NA NA 605 NA NA NA NA NA NA NA 2117 NA NA NA NA NA NA
1501232400.0 10006.0 NA 146 NA NA NA NA NA NA NA 222 NA NA NA NA NA NA NA 580 NA NA NA NA NA NA NA 1871 NA NA NA NA NA NA
1501232400.0 10007.0 NA 148 NA NA NA NA NA NA NA 223 NA NA NA NA NA NA NA 654 NA NA NA NA NA NA NA 2484 NA NA NA NA NA NA
1501232400.0 10008.0 NA 148 NA NA NA NA NA NA NA 223 NA NA NA NA NA NA NA 633 NA NA NA NA NA NA NA 2239 NA NA NA NA NA NA
