Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 
1734300000.0 1003.0 NA 370 0 NA NA NA 621 0 NA NA NA 1264 130 NA NA NA 992 205 NA NA 
1734300000.0 101.0 170 NA NA NA NA 286 NA NA NA NA 380 NA NA NA NA 589 NA NA NA NA 
1734300000.0 102.0 155 NA NA NA NA 285 NA NA NA NA 349 NA NA NA NA 382 NA NA NA NA 
1734300000.0 103.0 118 0 0 NA NA 192 0 0 NA NA 281 58 540 NA NA 322 88 653 NA NA 
1734300000.0 11224.6 NA 244 510 0 NA NA 356 707 0 NA NA 269 762 201 NA NA 291 838 271 NA 
1734300000.0 11634.911 151 410 656 0 164 234 522 909 0 256 1572 944 1604 488 498 1095 1103 2385 841 744 
1734300000.0 11650.911 150 389 605 0 185 231 521 869 0 259 872 918 1521 483 492 976 1145 2154 867 679 
1734300000.0 117.0 155 172 363 NA NA 267 236 491 NA NA 1056 179 691 NA NA 551 191 706 NA NA 
1734300000.0 11834.0 NA 696 1123 0 NA NA 979 1421 0 NA NA 2250 2837 277 NA NA 2075 2546 324 NA 
1734300000.0 11834.13 NA 749 1204 0 NA NA 955 1628 0 NA NA 2348 3361 278 NA NA 1961 2869 342 NA 
1734300000.0 11834.99 NA 546 766 788 0 NA 814 1043 1082 0 NA 2128 1021 2390 280 NA 1897 871 2163 391 
1734300000.0 11846.0 NA 718 1090 0 NA NA 956 1467 0 NA NA 2316 2778 278 NA NA 1907 2799 436 NA 
1734300000.0 11925.0 NA 738 1091 0 NA NA 1030 1499 0 NA NA 2224 2666 281 NA NA 2091 2972 434 NA 
1734300000.0 123.1 427 NA NA NA NA 585 NA NA NA NA 419 NA NA NA NA 749 NA NA NA NA 
1734300000.0 123.2 430 NA NA NA NA 594 NA NA NA NA 479 NA NA NA NA 737 NA NA NA NA 
1734300000.0 123.3 345 NA NA NA NA 460 NA NA NA NA 355 NA NA NA NA 480 NA NA NA NA 
1734300000.0 124.1 410 NA NA NA NA 526 NA NA NA NA 346 NA NA NA NA 401 NA NA NA NA 
1734300000.0 124.2 424 NA NA NA NA 562 NA NA NA NA 398 NA NA NA NA 653 NA NA NA NA 
1734300000.0 124.4 411 NA NA NA NA 535 NA NA NA NA 356 NA NA NA NA 514 NA NA NA NA 
1734300000.0 124.5 416 NA NA NA NA 538 NA NA NA NA 365 NA NA NA NA 433 NA NA NA NA 
1734300000.0 124.6 347 NA NA NA NA 471 NA NA NA NA 359 NA NA NA NA 472 NA NA NA NA 
1734300000.0 126.0 128 166 353 NA NA 209 225 460 NA NA 515 162 633 NA NA 470 178 709 NA NA 
1734300000.0 12634.0 NA 581 910 0 NA NA 776 1160 0 NA NA 1617 2109 272 NA NA 1502 2442 409 NA 
1734300000.0 12634.99 NA 402 630 740 0 NA 596 848 979 0 NA 1410 987 1709 278 NA 1562 692 1880 500 
1734300000.0 128.0 123 165 344 NA NA 193 232 474 NA NA 259 160 599 NA NA 280 161 765 NA NA 
1734300000.0 129.0 113 165 345 NA NA 193 229 459 NA NA 267 161 607 NA NA 386 147 728 NA NA 
1734300000.0 130.0 124 166 345 NA NA 195 224 473 NA NA 285 158 601 NA NA 431 186 693 NA NA 
1734300000.0 13034.0 NA 617 858 0 NA NA 819 1157 0 NA NA 1685 2105 278 NA NA 1589 2317 380 NA 
1734300000.0 13034.99 NA 389 646 743 0 NA 574 864 975 0 NA 1453 1021 1743 279 NA 1496 689 2045 371 
1734300000.0 13240.303 591 NA NA NA NA 808 NA NA NA NA 1565 NA NA NA NA 1303 NA NA NA NA 
1734300000.0 133.0 162 172 370 NA NA 267 240 495 NA NA 1336 180 769 NA NA 641 188 876 NA NA 
1734300000.0 135.1 606 0 193 NA NA 868 0 274 NA NA 440 107 273 NA NA 567 159 355 NA NA 
1734300000.0 135.12 603 0 191 NA NA 801 0 263 NA NA 416 106 265 NA NA 664 208 367 NA NA 
1734300000.0 135.13 610 0 NA NA NA 810 0 NA NA NA 420 137 NA NA NA 663 201 NA NA NA 
1734300000.0 135.2 525 0 190 NA NA 741 0 267 NA NA 363 97 246 NA NA 554 201 304 NA NA 
1734300000.0 135.3 526 0 194 NA NA 751 0 259 NA NA 368 101 247 NA NA 656 219 306 NA NA 
1734300000.0 135.4 607 0 193 NA NA 830 0 270 NA NA 405 102 263 NA NA 520 190 421 NA NA 
1734300000.0 135.5 601 0 169 NA NA 821 0 266 NA NA 400 103 255 NA NA 594 176 322 NA NA 
1734300000.0 135.7 605 0 194 NA NA 843 0 271 NA NA 406 105 258 NA NA 631 174 304 NA NA 
1734300000.0 135.8 356 NA NA NA NA 599 NA NA NA NA 373 NA NA NA NA 345 NA NA NA NA 
1734300000.0 1351.0 NA 218 400 0 NA NA 401 539 0 NA NA 270 655 166 NA NA 278 681 193 NA 
1734300000.0 136.72411 NA 252 0 NA NA NA 333 0 NA NA NA 679 74 NA NA NA 807 117 NA NA 
1734300000.0 136.7801 NA 188 0 NA NA NA 252 0 NA NA NA 258 79 NA NA NA 504 115 NA NA 
1734300000.0 136.838 NA 172 505 0 NA NA 243 894 0 NA NA 286 6663 133 NA NA 383 4062 198 NA 
