Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 
1789855200.0 1.0 151 153 238 NA NA NA 264 226 380 NA NA NA 893 238 632 NA NA NA 648 306 882 NA NA NA 
1789855200.0 10024.0 NA 281 464 0 177 165 NA 378 633 0 288 246 NA 931 969 221 194 274 NA 581 1434 280 298 384 
1789855200.0 103.0 126 133 281 NA NA NA 211 221 461 NA NA NA 497 184 966 NA NA NA 609 280 1463 NA NA NA 
1789855200.0 106.0 119 0 0 NA NA NA 194 0 0 NA NA NA 385 79 856 NA NA NA 426 118 1090 NA NA NA 
1789855200.0 10809.0 NA 239 447 0 168 166 NA 359 623 0 282 245 NA 913 865 218 199 295 NA 505 1182 361 367 481 
1789855200.0 10859.0 NA 287 447 0 146 162 NA 374 661 0 214 247 NA 934 1258 224 186 278 NA 450 1151 395 318 451 
1789855200.0 10871.0 NA 266 463 0 148 166 NA 354 637 0 208 245 NA 1107 1003 311 251 382 NA 588 1348 470 424 471 
1789855200.0 109.0 144 160 343 NA NA NA 262 242 470 NA NA NA 1246 249 996 NA NA NA 874 336 1229 NA NA NA 
1789855200.0 110.0 121 155 322 NA NA NA 200 236 473 NA NA NA 461 216 1005 NA NA NA 538 263 1312 NA NA NA 
1789855200.0 11024.15 NA 546 781 0 188 NA NA 729 1088 0 266 NA NA 2180 2126 250 313 NA NA 1453 1961 424 362 NA 
1789855200.0 111.0 152 164 341 NA NA NA 259 236 475 NA NA NA 771 194 995 NA NA NA 585 288 1251 NA NA NA 
1789855200.0 119.0 150 155 330 NA NA NA 257 238 488 NA NA NA 775 178 706 NA NA NA 597 246 760 NA NA NA 
1789855200.0 120.0 121 156 316 NA NA NA 204 228 482 NA NA NA 279 189 718 NA NA NA 312 188 805 NA NA NA 
1789855200.0 12034.0 NA 243 474 0 NA NA NA 343 663 0 NA NA NA 295 1214 298 NA NA NA 287 1363 361 NA NA 
1789855200.0 122.0 118 0 0 NA NA NA 196 0 0 NA NA NA 346 82 836 NA NA NA 418 130 1172 NA NA NA 
1789855200.0 12434.7 NA 415 578 0 NA NA NA 586 801 0 NA NA NA 1659 1703 361 NA NA NA 928 1999 445 NA NA 
1789855200.0 126.0 115 161 320 NA NA NA 221 232 475 NA NA NA 553 168 742 NA NA NA 447 182 833 NA NA NA 
1789855200.0 127.0 125 156 329 NA NA NA 209 230 472 NA NA NA 509 219 982 NA NA NA 474 271 1401 NA NA NA 
1789855200.0 128.0 113 153 321 NA NA NA 194 230 482 NA NA NA 289 170 697 NA NA NA 343 220 983 NA NA NA 
1789855200.0 129.0 117 162 324 NA NA NA 208 230 456 NA NA NA 410 237 952 NA NA NA 718 294 1221 NA NA NA 
1789855200.0 130.0 124 152 320 NA NA NA 219 229 467 NA NA NA 305 172 687 NA NA NA 338 248 903 NA NA NA 
1789855200.0 131.0 118 153 309 NA NA NA 200 231 487 NA NA NA 424 175 745 NA NA NA 331 212 841 NA NA NA 
1789855200.0 13234.0 81 493 0 NA NA NA 136 684 0 NA NA NA 92 1068 167 NA NA NA 159 1264 229 NA NA NA 
1789855200.0 133.0 159 160 321 NA NA NA 270 241 482 NA NA NA 1656 250 1127 NA NA NA 925 310 1334 NA NA NA 
1789855200.0 134.0 NA 349 75 0 NA NA NA 498 128 0 NA NA NA 2046 90 48 NA NA NA 2301 134 67 NA NA 
1789855200.0 134.801 NA 88 376 0 NA NA NA 157 547 0 NA NA NA 78 1845 150 NA NA NA 130 1767 205 NA NA 
1789855200.0 135.3 297 0 138 146 NA NA 454 0 265 224 NA NA 481 149 376 241 NA NA 627 273 556 262 NA NA 
1789855200.0 135.7 360 0 180 151 NA NA 559 0 255 229 NA NA 605 151 403 247 NA NA 712 238 617 274 NA NA 
1789855200.0 136.814 NA 169 427 0 NA NA NA 242 633 0 NA NA NA 225 4704 154 NA NA NA 320 2476 255 NA NA 
