Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9 
1749938400.0 10.0 NA 203 378 0 NA NA NA NA NA NA 305 593 0 NA NA NA NA NA NA 716 1372 187 NA NA NA NA NA NA 317 830 217 NA NA NA NA NA 
1749938400.0 1000.0 NA 335 245 0 113 NA NA NA NA NA 533 340 0 180 NA NA NA NA NA 1175 359 137 119 NA NA NA NA NA 983 397 161 143 NA NA NA NA 
1749938400.0 10003.0 NA 284 460 0 148 173 NA NA NA NA 390 681 0 225 267 NA NA NA NA 822 736 188 163 261 NA NA NA NA 364 717 241 234 338 NA NA NA 
1749938400.0 10005.0 NA 289 456 0 148 165 NA NA NA NA 391 670 0 230 254 NA NA NA NA 822 726 181 161 262 NA NA NA NA 341 719 214 215 356 NA NA NA 
1749938400.0 10008.0 NA 290 464 0 180 164 NA NA NA NA 387 665 0 288 260 NA NA NA NA 823 737 185 168 255 NA NA NA NA 366 778 208 214 336 NA NA NA 
1749938400.0 10009.0 NA 284 459 0 175 167 NA NA NA NA 396 661 0 295 264 NA NA NA NA 842 736 191 170 251 NA NA NA NA 363 717 223 214 287 NA NA NA 
1749938400.0 1001.0 NA 316 184 0 0 0 0 0 0 NA 454 266 0 0 0 0 0 0 NA 1016 206 43 34 44 87 57 84 NA 950 275 85 53 57 100 87 99 
1749938400.0 1001.3 NA 504 205 0 NA NA NA NA NA NA 760 331 0 NA NA NA NA NA NA 4003 227 126 NA NA NA NA NA NA 5296 249 177 NA NA NA NA NA 
1749938400.0 1002.4 NA 507 0 NA NA NA NA NA NA NA 776 0 NA NA NA NA NA NA NA 4609 184 NA NA NA NA NA NA NA 1927 215 NA NA NA NA NA NA 
1749938400.0 10024.2 NA 290 480 0 NA NA NA NA NA NA 398 716 0 NA NA NA NA NA NA 844 801 195 NA NA NA NA NA NA 399 737 217 NA NA NA NA NA 
1749938400.0 10026.0 NA 290 485 0 155 165 NA NA NA NA 401 707 0 233 269 NA NA NA NA 848 917 214 165 264 NA NA NA NA 358 818 263 211 352 NA NA NA 
1749938400.0 10059.0 NA 291 480 0 151 174 NA NA NA NA 407 731 0 225 258 NA NA NA NA 854 1094 216 166 253 NA NA NA NA 395 901 268 213 307 NA NA NA 
1749938400.0 10071.0 NA 288 476 0 155 170 NA NA NA NA 385 715 0 227 267 NA NA NA NA 831 802 203 159 255 NA NA NA NA 349 801 226 189 299 NA NA NA 
1749938400.0 10224.0 NA 468 736 0 170 NA NA NA NA NA 655 1117 0 267 NA NA NA NA NA 1587 1543 220 268 NA NA NA NA NA 788 1062 261 426 NA NA NA NA 
1749938400.0 10224.15 NA 481 733 0 183 NA NA NA NA NA 666 1083 0 286 NA NA NA NA NA 1554 1444 219 303 NA NA NA NA NA 690 976 249 352 NA NA NA NA 
1749938400.0 10225.0 NA 466 690 0 171 NA NA NA NA NA 656 966 0 271 NA NA NA NA NA 1514 1306 210 244 NA NA NA NA NA 658 933 230 270 NA NA NA NA 
1749938400.0 103.0 121 0 0 NA NA NA NA NA NA 211 0 0 NA NA NA NA NA NA 278 56 568 NA NA NA NA NA NA 263 69 664 NA NA NA NA NA NA 
