Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 
1757624400.0 101.0 165 NA NA NA NA NA NA 305 NA NA NA NA NA NA 395 NA NA NA NA NA NA 408 NA NA NA NA NA NA 
1757624400.0 103.0 126 160 334 NA NA NA NA 229 250 504 NA NA NA NA 335 133 882 NA NA NA NA 355 180 1182 NA NA NA NA 
1757624400.0 106.0 125 0 0 NA NA NA NA 210 0 0 NA NA NA NA 283 66 770 NA NA NA NA 306 89 1043 NA NA NA NA 
1757624400.0 122.0 127 160 330 NA NA NA NA 230 240 507 NA NA NA NA 315 160 763 NA NA NA NA 325 259 935 NA NA NA NA 
1757624400.0 123.1 363 NA NA NA NA NA NA 548 NA NA NA NA NA NA 558 NA NA NA NA NA NA 597 NA NA NA NA NA NA 
1757624400.0 123.2 372 NA NA NA NA NA NA 562 NA NA NA NA NA NA 610 NA NA NA NA NA NA 939 NA NA NA NA NA NA 
1757624400.0 123.3 312 NA NA NA NA NA NA 434 NA NA NA NA NA NA 468 NA NA NA NA NA NA 569 NA NA NA NA NA NA 
1757624400.0 124.1 354 NA NA NA NA NA NA 503 NA NA NA NA NA NA 459 NA NA NA NA NA NA 589 NA NA NA NA NA NA 
1757624400.0 124.2 358 NA NA NA NA NA NA 545 NA NA NA NA NA NA 513 NA NA NA NA NA NA 587 NA NA NA NA NA NA 
1757624400.0 124.4 358 NA NA NA NA NA NA 530 NA NA NA NA NA NA 502 NA NA NA NA NA NA 554 NA NA NA NA NA NA 
1757624400.0 124.5 357 NA NA NA NA NA NA 525 NA NA NA NA NA NA 497 NA NA NA NA NA NA 713 NA NA NA NA NA NA 
1757624400.0 124.6 315 NA NA NA NA NA NA 438 NA NA NA NA NA NA 496 NA NA NA NA NA NA 613 NA NA NA NA NA NA 
1757624400.0 126.0 125 169 336 NA NA NA NA 225 263 508 NA NA NA NA 499 198 898 NA NA NA NA 472 273 971 NA NA NA NA 
1757624400.0 128.0 125 169 333 NA NA NA NA 212 259 511 NA NA NA NA 270 182 783 NA NA NA NA 302 230 951 NA NA NA NA 
1757624400.0 129.0 126 168 335 NA NA NA NA 214 255 518 NA NA NA NA 273 217 841 NA NA NA NA 312 233 927 NA NA NA NA 
1757624400.0 130.0 135 179 348 NA NA NA NA 225 261 516 NA NA NA NA 249 159 682 NA NA NA NA 239 174 778 NA NA NA NA 
1757624400.0 1301.0 147 206 267 NA NA NA NA 259 301 460 NA NA NA NA 719 217 637 NA NA NA NA 499 225 843 NA NA NA NA 
1757624400.0 13034.0 NA 760 1134 0 NA NA NA NA 1134 1581 0 NA NA NA NA 2981 3811 380 NA NA NA NA 1697 2556 461 NA NA NA 
1757624400.0 136.901 NA 258 241 250 139 238 241 NA 404 397 363 219 390 396 NA 4187 856 679 209 462 616 NA 7795 1427 994 331 681 819 
1757624400.0 136.902 NA 263 186 242 137 236 240 NA 404 372 363 203 390 397 NA 3647 829 811 192 389 587 NA 6793 1690 1266 279 601 825 
1757624400.0 136.903 NA 292 281 278 150 276 262 NA 457 440 448 231 442 427 NA 5346 2650 2301 402 684 931 NA 9658 3982 3129 470 1009 1174 
1757624400.0 136.904 NA 297 273 303 135 271 259 NA 457 448 442 226 409 417 NA 4915 1629 1481 276 564 783 NA 9155 2724 2292 345 856 1085 
1757624400.0 138.4 NA 394 0 NA NA NA NA NA 602 0 NA NA NA NA NA 912 177 NA NA NA NA NA 770 231 NA NA NA NA 
1757624400.0 140.57 NA 493 0 NA NA NA NA NA 846 0 NA NA NA NA NA 1355 182 NA NA NA NA NA 1180 260 NA NA NA NA 
1757624400.0 141.009 NA 0 0 0 NA NA NA NA 0 0 0 NA NA NA NA 456 3192 589 NA NA NA NA 618 5008 721 NA NA NA 
1757624400.0 141.045 NA 424 713 0 NA NA NA NA 706 1132 0 NA NA NA NA 2691 17225 224 NA NA NA NA 1845 6319 260 NA NA NA 
1757624400.0 141.047 NA 413 NA NA NA NA NA NA 677 NA NA NA NA NA NA 2094 NA NA NA NA NA NA 1614 NA NA NA NA NA 
1757624400.0 144.6 NA 366 NA NA NA NA NA NA 535 NA NA NA NA NA NA 1606 NA NA NA NA NA NA 1699 NA NA NA NA NA 
1757624400.0 2018.12 449 0 202 168 NA NA NA 634 0 317 261 NA NA NA 546 133 349 249 NA NA NA 592 169 469 347 NA NA NA 
1757624400.0 23634.0 NA 649 577 0 237 NA NA NA 903 876 0 348 NA NA NA 950 1575 268 500 NA NA NA 776 1790 328 606 NA NA 
1757624400.0 24834.911 180 651 593 0 239 NA NA 273 896 864 0 342 NA NA 5601 2941 3410 874 475 NA NA 4662 3121 2794 1153 483 NA NA 
1757624400.0 2500.226 NA 193 NA NA NA NA NA NA 316 NA NA NA NA NA NA 1002 NA NA NA NA NA NA 730 NA NA NA NA NA 
1757624400.0 2500.232 NA 210 NA NA NA NA NA NA 326 NA NA NA NA NA NA 715 NA NA NA NA NA NA 514 NA NA NA NA NA 
