Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 
1729375200.0 10225.0 NA 150 233 0 NA 193 279 0 NA 1934 1649 192 NA 2388 2060 204 
1729375200.0 133.0 79 105 216 NA 100 148 254 NA 4015 276 462 NA 4158 299 495 NA 
1729375200.0 134.702 NA 57 256 0 NA 78 299 0 NA 129 4374 326 NA 158 4704 344 
1729375200.0 134.703 NA 58 254 0 NA 82 313 0 NA 126 4384 330 NA 143 4714 347 
1729375200.0 134.704 NA 57 265 0 NA 78 307 0 NA 132 4041 365 NA 147 4210 382 
1729375200.0 134.705 NA 59 254 0 NA 82 315 0 NA 130 4513 335 NA 147 4844 356 
1729375200.0 134.707 NA 59 262 0 NA 81 304 0 NA 129 4007 366 NA 143 4163 387 
1729375200.0 134.708 NA 57 263 0 NA 79 303 0 NA 126 3813 351 NA 146 3969 374 
1729375200.0 134.709 NA 59 254 0 NA 82 304 0 NA 124 4077 329 NA 142 4404 341 
1729375200.0 134.902 NA 59 262 0 NA 83 297 0 NA 143 3880 366 NA 154 4056 381 
1729375200.0 134.906 NA 57 253 0 NA 82 301 0 NA 143 4125 336 NA 156 4459 357 
1729375200.0 134.909 NA 59 259 0 NA 82 293 0 NA 139 3712 349 NA 151 3853 370 
1729375200.0 135.1 261 0 132 NA 302 0 157 NA 596 185 577 NA 654 191 631 NA 
1729375200.0 135.11 263 0 134 NA 307 0 160 NA 756 194 555 NA 815 205 609 NA 
1729375200.0 135.12 256 0 120 NA 297 0 154 NA 503 185 403 NA 556 203 459 NA 
1729375200.0 135.2 242 0 131 NA 279 0 149 NA 370 175 332 NA 435 190 373 NA 
1729375200.0 135.3 242 0 131 NA 279 0 156 NA 373 186 341 NA 437 264 397 NA 
1729375200.0 135.4 258 0 121 NA 299 0 157 NA 522 185 395 NA 593 207 439 NA 
1729375200.0 135.5 255 0 120 NA 296 0 154 NA 479 183 401 NA 538 196 452 NA 
1729375200.0 135.6 257 0 132 NA 299 0 157 NA 531 184 545 NA 591 200 598 NA 
1729375200.0 135.7 257 0 125 NA 298 0 161 NA 462 179 397 NA 523 191 435 NA 
1729375200.0 135.9 257 0 123 NA 299 0 157 NA 458 188 387 NA 522 201 425 NA 
1729375200.0 136.722 NA 181 301 0 NA 233 343 0 NA 3116 7038 797 NA 3586 7210 812 
1729375200.0 136.723 NA 185 287 0 NA 234 334 0 NA 2979 6821 836 NA 3428 6998 856 
1729375200.0 136.724 NA 184 301 0 NA 235 351 0 NA 4219 7966 709 NA 4710 8212 721 
1729375200.0 136.725 NA 187 307 0 NA 231 361 0 NA 2885 6924 812 NA 3333 7153 835 
1729375200.0 136.726 NA 183 287 0 NA 232 332 0 NA 3227 7185 775 NA 3680 7368 813 
1729375200.0 136.727 NA 212 302 0 NA 285 342 0 NA 3071 6786 820 NA 3476 6958 838 
1729375200.0 136.728 NA 213 296 0 NA 279 348 0 NA 3392 7335 781 NA 3847 7505 815 
1729375200.0 136.729 NA 186 287 0 NA 228 334 0 NA 2783 7052 799 NA 3163 7298 822 
1729375200.0 136.73 NA 186 304 0 NA 227 356 0 NA 2953 6986 810 NA 3402 7167 835 
1729375200.0 136.731 NA 186 318 0 NA 237 364 0 NA 3131 7176 773 NA 3593 7360 791 
1729375200.0 136.734 NA 185 285 0 NA 231 335 0 NA 3030 7000 797 NA 3486 7244 820 
1729375200.0 250405.0 263 0 134 NA 311 0 156 NA 740 174 558 NA 834 182 619 NA 
1729375200.0 250406.0 266 0 134 NA 313 0 155 NA 623 178 577 NA 700 186 637 NA 
1729375200.0 250407.0 251 0 134 NA 293 0 157 NA 596 158 600 NA 673 166 660 NA 
1729375200.0 25210.0 74 243 363 0 157 281 403 0 3132 1885 2610 1441 4773 2171 2851 1479 
1729375200.0 25211.0 68 242 370 0 157 282 408 0 2089 2352 3156 1410 3590 2835 3456 1439 
1729375200.0 25212.0 71 233 355 0 157 277 403 0 2763 2284 3045 1328 4705 2710 3299 1390 
1729375200.0 25213.0 73 237 346 0 157 281 409 0 3910 2444 3213 1271 5932 2729 3464 1295 
1729375200.0 280.0 98 102 223 0 169 148 254 0 3792 263 341 337 3982 282 364 352 
1729375200.0 300.0 104 240 303 0 134 279 357 0 1847 770 1456 160 1971 857 1581 175 
1729375200.0 301.0 105 238 322 0 134 284 358 0 2458 785 1510 156 2862 875 1614 170 
1729375200.0 39.0 NA 106 230 0 NA 146 258 0 NA 1612 2879 402 NA 1647 2959 436 
1729375200.0 4.51 NA 54 259 0 NA 74 304 0 NA 115 3891 357 NA 123 3993 373 
1729375200.0 4.72 NA 53 246 0 NA 73 293 0 NA 119 4043 373 NA 135 4155 398 
1729375200.0 4.74 NA 53 246 0 NA 74 295 0 NA 121 4132 337 NA 135 4250 350 
