Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1492722000.0 10024.0 NA 185 537 97 0 NA 452 695 150 0 NA 443 2561 70 545 NA 244 2352 108 556
1492722000.0 10024.2 NA 187 475 0 NA NA 451 691 0 NA NA 448 2658 519 NA NA 440 2803 528 NA
1492722000.0 10823.0 65 164 482 88 0 130 443 683 149 0 1622 562 2516 79 579 1040 397 3404 144 591
1492722000.0 10825.0 70 182 504 88 0 137 443 693 149 0 4090 563 2626 81 631 1640 339 3248 123 644
1492722000.0 10842.0 58 161 467 89 0 120 443 684 150 0 1085 383 2404 78 577 997 349 3405 137 588
1492722000.0 1310.0 NA 216 521 0 NA NA 473 626 0 NA NA 481 728 725 NA NA 316 535 733 NA
1492722000.0 1330.0 NA 213 522 0 NA NA 473 615 0 NA NA 468 723 703 NA NA 294 536 709 NA
1492722000.0 136.727 NA 242 464 0 NA NA 367 589 0 NA NA 3605 7188 500 NA NA 2331 3726 513 NA
1492722000.0 136.728 NA 238 460 0 NA NA 360 590 0 NA NA 6173 12316 721 NA NA 4253 5644 743 NA
1492722000.0 136.732 NA 195 450 0 NA NA 302 542 0 NA NA 1738 4846 472 NA NA 952 1669 491 NA
1492722000.0 136.737 NA 216 480 0 NA NA 331 619 0 NA NA 5538 13641 517 NA NA 2141 5101 523 NA
1492722000.0 136.738 NA 213 465 0 NA NA 328 589 0 NA NA 5508 13323 529 NA NA 2187 5020 538 NA
1492722000.0 136.744 NA 202 473 0 NA NA 339 613 0 NA NA 7234 14064 533 NA NA 2332 4506 546 NA
1492722000.0 136.745 NA 193 454 0 NA NA 312 565 0 NA NA 4301 10380 533 NA NA 1605 3771 546 NA
1492722000.0 136.77 NA 211 479 0 NA NA 317 600 0 NA NA 8160 18139 703 NA NA 2935 6647 714 NA
1492722000.0 136.778 NA 203 457 0 NA NA 301 569 0 NA NA 1816 6280 444 NA NA 892 2278 452 NA
1492722000.0 1360.0 58 193 495 0 NA 202 468 607 0 NA 3040 339 954 838 NA 2265 298 1521 870 NA
1492722000.0 13992502.0 NA 338 769 0 NA NA 506 962 0 NA NA 2432 2985 780 NA NA 1222 1553 796 NA
1492722000.0 20453.0 76 125 322 0 NA 134 299 397 0 NA 5578 634 907 227 NA 2192 330 505 242 NA
1492722000.0 21221.0 68 290 389 0 NA 125 368 486 0 NA 1882 1714 1596 427 NA 1142 857 909 434 NA
1492722000.0 21234.1 78 306 314 0 NA 141 378 393 0 NA 5475 1762 876 299 NA 2138 900 629 305 NA
1492722000.0 23221.0 74 319 386 0 NA 126 393 486 0 NA 1887 1751 1541 441 NA 1278 975 914 450 NA
1492722000.0 250207.0 NA 360 591 0 NA NA 625 723 0 NA NA 9749 2156 917 NA NA 3287 1387 930 NA
1492722000.0 25202.0 NA 311 768 0 NA NA 532 954 0 NA NA 3617 4362 982 NA NA 1911 2489 997 NA
1492722000.0 25208.0 NA 305 777 0 NA NA 629 979 0 NA NA 3813 4716 1007 NA NA 2017 2437 1025 NA
1492722000.0 25209.0 NA 304 758 0 NA NA 505 990 0 NA NA 3663 4238 980 NA NA 2241 2420 993 NA
1492722000.0 7.3 63 174 233 76 0 117 463 348 134 0 1408 484 2196 85 320 1088 500 2135 129 329
