Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1491382800.0 1.0 80 89 134 NA NA NA NA NA 155 365 222 NA NA NA NA NA 1885 302 219 NA NA NA NA NA 881 149 206 NA NA NA NA NA
1491382800.0 10.0 NA 111 376 0 NA NA NA NA NA 370 454 0 NA NA NA NA NA 1532 1525 317 NA NA NA NA NA 521 632 325 NA NA NA NA
1491382800.0 1000.0 NA 388 129 0 51 NA NA NA NA 483 197 0 89 NA NA NA NA 1489 367 349 82 NA NA NA NA 656 293 356 102 NA NA NA
1491382800.0 1001.0 NA 373 205 0 0 0 0 0 NA 470 252 0 0 0 0 0 NA 1335 248 4 16 224 14 219 NA 592 227 8 18 227 18 222
1491382800.0 1002.0 NA 357 70 NA NA NA NA NA NA 451 110 NA NA NA NA NA NA 1534 143 NA NA NA NA NA NA 657 82 NA NA NA NA NA
1491382800.0 10023.0 NA 199 325 95 0 NA NA NA NA 469 683 138 0 NA NA NA NA 401 2520 132 962 NA NA NA NA 297 2730 175 968 NA NA NA
1491382800.0 10024.0 NA 219 550 111 0 NA NA NA NA 476 676 150 0 NA NA NA NA 765 2865 143 1102 NA NA NA NA 382 2615 196 1244 NA NA NA
1491382800.0 10024.1 NA 229 370 0 NA NA NA NA NA 476 457 0 NA NA NA NA NA 576 370 347 NA NA NA NA NA 390 298 353 NA NA NA NA
1491382800.0 10024.2 NA 218 548 0 NA NA NA NA NA 476 682 0 NA NA NA NA NA 726 2648 1052 NA NA NA NA NA 433 2421 1060 NA NA NA NA
1491382800.0 10024.4 NA 230 551 0 NA NA NA NA NA 474 692 0 NA NA NA NA NA 610 2593 1101 NA NA NA NA NA 411 2344 1317 NA NA NA NA
1491382800.0 10024.5 NA 228 359 0 NA NA NA NA NA 468 483 0 NA NA NA NA NA 584 377 348 NA NA NA NA NA 407 482 352 NA NA NA NA
1491382800.0 10024.6 NA 227 545 0 NA NA NA NA NA 475 679 0 NA NA NA NA NA 659 2711 1081 NA NA NA NA NA 410 2480 1223 NA NA NA NA
1491382800.0 10025.0 NA 225 520 100 0 NA NA NA NA 474 683 139 0 NA NA NA NA 474 2435 122 990 NA NA NA NA 302 2744 163 1000 NA NA NA
1491382800.0 10026.0 NA 226 550 111 0 NA NA NA NA 477 694 148 0 NA NA NA NA 1212 2827 156 1049 NA NA NA NA 552 2430 158 1056 NA NA NA
1491382800.0 1003.0 NA 291 0 NA NA NA NA NA NA 388 0 NA NA NA NA NA NA 2119 240 NA NA NA NA NA NA 822 247 NA NA NA NA NA
1491382800.0 1004.0 NA 369 142 0 0 0 0 NA NA 478 187 0 0 0 0 NA NA 455 98 4 23 230 186 NA NA 342 103 11 21 233 188 NA
1491382800.0 10042.0 NA 217 529 111 0 NA NA NA NA 477 684 150 0 NA NA NA NA 512 2488 169 1032 NA NA NA NA 337 2443 259 1054 NA NA NA
1491382800.0 10224.0 NA 326 793 0 NA NA NA NA NA 536 995 0 NA NA NA NA NA 7333 5186 1306 NA NA NA NA NA 10166 6318 1315 NA NA NA NA
1491382800.0 10225.0 NA 302 741 0 NA NA NA NA NA 522 973 0 NA NA NA NA NA 2786 4406 1285 NA NA NA NA NA 5478 4637 1302 NA NA NA NA
1491382800.0 10424.0 NA 223 544 0 NA NA NA NA NA 474 679 0 NA NA NA NA NA 524 2769 1082 NA NA NA NA NA 314 2544 1092 NA NA NA NA
1491382800.0 106.0 36 0 0 NA NA NA NA NA 81 0 0 NA NA NA NA NA 318 106 215 NA NA NA NA NA 324 51 220 NA NA NA NA NA
1491382800.0 107.0 80 96 365 NA NA NA NA NA 171 358 478 NA NA NA NA NA 3125 277 412 NA NA NA NA NA 1172 124 336 NA NA NA NA NA
1491382800.0 108.0 82 99 375 NA NA NA NA NA 158 358 463 NA NA NA NA NA 3665 310 471 NA NA NA NA NA 1403 141 358 NA NA NA NA NA
1491382800.0 10823.0 78 192 521 98 0 NA NA NA 120 470 684 139 0 NA NA NA 1268 447 2474 201 1016 NA NA NA 759 286 2537 231 1026 NA NA NA
1491382800.0 10824.0 80 216 559 107 0 NA NA NA 132 472 690 149 0 NA NA NA 4273 700 3045 142 1093 NA NA NA 1450 356 2814 171 2223 NA NA NA
1491382800.0 10825.0 74 230 544 100 0 NA NA NA 127 466 683 139 0 NA NA NA 3534 580 2500 134 1129 NA NA NA 1388 540 2523 157 1137 NA NA NA
1491382800.0 10826.0 81 217 542 100 0 NA NA NA 136 460 685 139 0 NA NA NA 6086 453 2386 134 982 NA NA NA 2117 281 2220 148 995 NA NA NA
1491382800.0 10842.0 60 198 527 104 0 NA NA NA 108 470 678 150 0 NA NA NA 912 312 2269 137 975 NA NA NA 676 240 2311 147 982 NA NA NA
1491382800.0 109.0 84 101 373 NA NA NA NA NA 175 365 464 NA NA NA NA NA 4158 299 479 NA NA NA NA NA 1557 138 371 NA NA NA NA NA
1491382800.0 11.0 NA 99 462 0 61 NA NA NA NA 378 552 0 98 NA NA NA NA 1231 722 326 17 NA NA NA NA 378 430 332 19 NA NA NA
1491382800.0 110.0 58 90 363 NA NA NA NA NA 115 358 471 NA NA NA NA NA 519 265 362 NA NA NA NA NA 389 123 332 NA NA NA NA NA
1491382800.0 1102.0 NA 111 377 126 64 NA NA NA NA 370 456 190 116 NA NA NA NA 1552 1963 1124 98 NA NA NA NA 507 727 401 61 NA NA NA
1491382800.0 111.0 85 95 369 NA NA NA NA NA 154 358 455 NA NA NA NA NA 1697 243 384 NA NA NA NA NA 691 125 331 NA NA NA NA NA
1491382800.0 112.0 83 87 369 NA NA NA NA NA 157 358 461 NA NA NA NA NA 2966 284 377 NA NA NA NA NA 1059 141 317 NA NA NA NA NA
1491382800.0 11224.0 81 242 508 0 NA NA NA NA 132 470 692 0 NA NA NA NA 5133 691 2696 1221 NA NA NA NA 1929 378 5365 1232 NA NA NA NA
1491382800.0 113.0 82 87 368 NA NA NA NA NA 159 358 467 NA NA NA NA NA 2898 284 388 NA NA NA NA NA 1062 136 400 NA NA NA NA NA
1491382800.0 114.0 75 94 371 NA NA NA NA NA 170 365 455 NA NA NA NA NA 2815 283 409 NA NA NA NA NA 1073 131 333 NA NA NA NA NA
1491382800.0 115.0 91 97 377 NA NA NA NA NA 163 358 459 NA NA NA NA NA 3394 303 442 NA NA NA NA NA 1183 163 372 NA NA NA NA NA
1491382800.0 116.0 88 96 368 NA NA NA NA NA 158 358 472 NA NA NA NA NA 3414 292 438 NA NA NA NA NA 1311 138 353 NA NA NA NA NA
1491382800.0 117.0 77 97 374 NA NA NA NA NA 155 358 488 NA NA NA NA NA 3560 295 443 NA NA NA NA NA 1212 138 389 NA NA NA NA NA
1491382800.0 118.0 83 98 373 NA NA NA NA NA 163 358 461 NA NA NA NA NA 3529 288 463 NA NA NA NA NA 1276 131 359 NA NA NA NA NA
1491382800.0 119.0 86 95 366 NA NA NA NA NA 159 365 465 NA NA NA NA NA 2741 282 394 NA NA NA NA NA 1051 124 326 NA NA NA NA NA
1491382800.0 12.0 NA 106 372 0 NA NA NA NA NA 370 460 0 NA NA NA NA NA 1375 1473 343 NA NA NA NA NA 431 653 351 NA NA NA NA
1491382800.0 120.0 59 88 360 NA NA NA NA NA 114 365 446 NA NA NA NA NA 433 263 352 NA NA NA NA NA 355 119 325 NA NA NA NA NA
1491382800.0 121.0 82 101 376 NA NA NA NA NA 157 358 457 NA NA NA NA NA 3326 308 519 NA NA NA NA NA 1226 137 386 NA NA NA NA NA
1491382800.0 122.0 46 79 358 NA NA NA NA NA 95 365 438 NA NA NA NA NA 481 156 317 NA NA NA NA NA 432 98 314 NA NA NA NA NA
1491382800.0 126.0 68 82 360 NA NA NA NA NA 117 365 453 NA NA NA NA NA 942 262 377 NA NA NA NA NA 531 121 342 NA NA NA NA NA
1491382800.0 127.0 61 88 367 NA NA NA NA NA 117 365 458 NA NA NA NA NA 871 263 353 NA NA NA NA NA 485 118 323 NA NA NA NA NA
1491382800.0 129.0 57 85 357 NA NA NA NA NA 105 358 457 NA NA NA NA NA 428 258 352 NA NA NA NA NA 354 119 329 NA NA NA NA NA
1491382800.0 13.0 NA 100 369 0 NA NA NA NA NA 370 466 0 NA NA NA NA NA 219 645 251 NA NA NA NA NA 128 371 259 NA NA NA NA
1491382800.0 1301.0 83 171 181 NA NA NA NA NA 133 455 289 NA NA NA NA NA 1182 476 323 NA NA NA NA NA 662 298 309 NA NA NA NA NA
1491382800.0 1303.0 88 194 204 NA NA NA NA NA 144 469 295 NA NA NA NA NA 6457 562 557 NA NA NA NA NA 2400 320 352 NA NA NA NA NA
1491382800.0 1306.0 NA 199 489 0 NA NA NA NA NA 474 593 0 NA NA NA NA NA 440 806 741 NA NA NA NA NA 272 915 748 NA NA NA NA
1491382800.0 1307.0 NA 173 201 56 0 NA NA NA NA 468 274 93 0 NA NA NA NA 414 372 24 260 NA NA NA NA 303 329 26 267 NA NA NA
1491382800.0 1308.0 NA 169 197 55 0 NA NA NA NA 463 266 93 0 NA NA NA NA 366 320 25 252 NA NA NA NA 241 286 28 259 NA NA NA
1491382800.0 1309.0 NA 216 524 0 NA NA NA NA NA 474 607 0 NA NA NA NA NA 619 761 747 NA NA NA NA NA 319 522 753 NA NA NA NA
1491382800.0 131.0 61 90 359 NA NA NA NA NA 118 365 468 NA NA NA NA NA 1000 273 384 NA NA NA NA NA 546 127 337 NA NA NA NA NA
1491382800.0 1310.0 NA 213 514 0 NA NA NA NA NA 476 602 0 NA NA NA NA NA 548 879 857 NA NA NA NA NA 355 663 889 NA NA NA NA
1491382800.0 1311.0 NA 201 511 0 70 NA NA NA NA 474 594 0 108 NA NA NA NA 448 658 857 53 NA NA NA NA 284 593 867 84 NA NA NA
1491382800.0 1312.0 NA 217 485 0 NA NA NA NA NA 473 599 0 NA NA NA NA NA 562 906 833 NA NA NA NA NA 358 877 852 NA NA NA NA
1491382800.0 1313.0 NA 213 522 0 NA NA NA NA NA 472 600 0 NA NA NA NA NA 502 1029 730 NA NA NA NA NA 319 635 737 NA NA NA NA
1491382800.0 1314.0 NA 208 508 0 NA NA NA NA NA 466 598 0 NA NA NA NA NA 491 786 867 NA NA NA NA NA 322 610 876 NA NA NA NA
1491382800.0 1315.0 NA 195 493 0 NA NA NA NA NA 472 592 0 NA NA NA NA NA 459 721 795 NA NA NA NA NA 293 624 827 NA NA NA NA
1491382800.0 1316.0 NA 197 495 0 NA NA NA NA NA 471 599 0 NA NA NA NA NA 474 712 765 NA NA NA NA NA 308 598 772 NA NA NA NA
1491382800.0 1317.0 NA 194 493 0 NA NA NA NA NA 481 595 0 NA NA NA NA NA 437 631 787 NA NA NA NA NA 282 530 801 NA NA NA NA
1491382800.0 1319.0 NA 201 502 0 NA NA NA NA NA 467 599 0 NA NA NA NA NA 437 700 804 NA NA NA NA NA 281 595 811 NA NA NA NA
1491382800.0 132.0 78 98 372 NA NA NA NA NA 158 358 468 NA NA NA NA NA 3208 290 512 NA NA NA NA NA 1163 143 395 NA NA NA NA NA
1491382800.0 1320.0 NA 193 491 0 NA NA NA NA NA 474 587 0 NA NA NA NA NA 465 709 847 NA NA NA NA NA 356 605 882 NA NA NA NA
1491382800.0 1321.0 NA 193 495 0 NA NA NA NA NA 480 588 0 NA NA NA NA NA 496 702 841 NA NA NA NA NA 294 750 856 NA NA NA NA
1491382800.0 1322.0 NA 202 494 0 NA NA NA NA NA 467 602 0 NA NA NA NA NA 499 788 819 NA NA NA NA NA 320 678 861 NA NA NA NA
1491382800.0 1323.0 NA 192 490 0 NA NA NA NA NA 480 594 0 NA NA NA NA NA 422 671 771 NA NA NA NA NA 276 616 781 NA NA NA NA
1491382800.0 1324.0 NA 225 508 0 NA NA NA NA NA 480 615 0 NA NA NA NA NA 542 883 834 NA NA NA NA NA 338 655 842 NA NA NA NA
1491382800.0 1325.0 NA 225 513 0 86 NA NA NA NA 481 613 0 125 NA NA NA NA 601 896 843 87 NA NA NA NA 367 617 855 118 NA NA NA
1491382800.0 1325.1 NA 215 317 0 NA NA NA NA NA 472 387 0 NA NA NA NA NA 526 359 322 NA NA NA NA NA 511 328 342 NA NA NA NA
1491382800.0 1325.2 NA 227 510 0 NA NA NA NA NA 473 603 0 NA NA NA NA NA 582 983 823 NA NA NA NA NA 346 699 831 NA NA NA NA
1491382800.0 1325.3 NA 225 293 0 NA NA NA NA NA 472 359 0 NA NA NA NA NA 525 321 312 NA NA NA NA NA 297 260 317 NA NA NA NA
1491382800.0 1325.4 NA 218 505 0 NA NA NA NA NA 467 617 0 NA NA NA NA NA 581 948 843 NA NA NA NA NA 334 718 850 NA NA NA NA
1491382800.0 1326.0 NA 216 506 0 NA NA NA NA NA 465 593 0 NA NA NA NA NA 475 771 844 NA NA NA NA NA 294 648 890 NA NA NA NA
1491382800.0 1327.0 NA 206 505 0 NA NA NA NA NA 466 600 0 NA NA NA NA NA 520 819 840 NA NA NA NA NA 353 653 881 NA NA NA NA
