Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1550613600.0 101.0 102 NA NA NA NA NA 185 NA NA NA NA NA 857 NA NA NA NA NA 1004 NA NA NA NA NA
1550613600.0 1010.0 NA 32 43 0 NA NA NA 86 95 0 NA NA NA 138 232 206 NA NA NA 302 325 376 NA NA
1550613600.0 102.0 0 NA NA NA NA NA 0 NA NA NA NA NA 236 NA NA NA NA NA 550 NA NA NA NA NA
1550613600.0 1020.0 NA 74 26 0 69 NA NA 141 70 0 139 NA NA 451 119 79 348 NA NA 685 272 176 499 NA
1550613600.0 1040.1 NA 75 31 0 NA NA NA 140 79 0 NA NA NA 413 139 148 NA NA NA 693 182 205 NA NA
1550613600.0 108.0 104 122 341 NA NA NA 214 578 579 NA NA NA 4284 828 2201 NA NA NA 2415 809 1976 NA NA NA
1550613600.0 10808.0 NA 279 444 0 107 191 NA 732 670 0 182 298 NA 2226 2448 2251 467 1002 NA 2457 2919 4150 1281 1620
1550613600.0 11024.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1550613600.0 125.0 108 120 330 NA NA NA 220 614 562 NA NA NA 3005 747 2170 NA NA NA 2209 712 2247 NA NA NA
1550613600.0 134.813 NA 176 62 0 NA NA NA 301 126 0 NA NA NA 1204 280 354 NA NA NA 801 303 436 NA NA
1550613600.0 1345.0 NA 159 407 0 NA NA NA 635 659 0 NA NA NA 598 1930 950 NA NA NA 622 2407 1836 NA NA
1550613600.0 1347.0 NA 161 384 0 NA NA NA 636 583 0 NA NA NA 631 2236 1014 NA NA NA 604 3552 1152 NA NA
1550613600.0 135.8 181 NA NA NA NA NA 269 NA NA NA NA NA 672 NA NA NA NA NA 1005 NA NA NA NA NA
1550613600.0 136.7801 NA 111 0 NA NA NA NA 189 0 NA NA NA NA 753 295 NA NA NA NA 1461 440 NA NA NA
1550613600.0 136.7802 NA 91 0 NA NA NA NA 152 0 NA NA NA NA 359 162 NA NA NA NA 769 281 NA NA NA
1550613600.0 136.7803 NA 111 0 NA NA NA NA 198 0 NA NA NA NA 877 224 NA NA NA NA 945 277 NA NA NA
1550613600.0 2017.8 210 NA NA NA NA NA 332 NA NA NA NA NA 830 NA NA NA NA NA 1105 NA NA NA NA NA
1550613600.0 503.0 46 0 NA NA NA NA 102 0 NA NA NA NA 246 124 NA NA NA NA 401 609 NA NA NA NA
1550613600.0 504.0 47 0 NA NA NA NA 103 0 NA NA NA NA 242 178 NA NA NA NA 699 547 NA NA NA NA
1550613600.0 505.0 42 0 NA NA NA NA 104 0 NA NA NA NA 177 210 NA NA NA NA 298 476 NA NA NA NA
1550613600.0 506.0 42 0 NA NA NA NA 102 0 NA NA NA NA 277 140 NA NA NA NA 741 327 NA NA NA NA
1550613600.0 507.0 40 0 NA NA NA NA 101 0 NA NA NA NA 209 134 NA NA NA NA 382 317 NA NA NA NA
1550613600.0 508.0 45 0 NA NA NA NA 102 0 NA NA NA NA 235 178 NA NA NA NA 672 547 NA NA NA NA
1550613600.0 509.0 37 0 NA NA NA NA 81 0 NA NA NA NA 231 145 NA NA NA NA 605 239 NA NA NA NA
1550613600.0 510.0 45 0 NA NA NA NA 101 0 NA NA NA NA 338 141 NA NA NA NA 880 345 NA NA NA NA
1550613600.0 511.0 45 0 NA NA NA NA 98 0 NA NA NA NA 11804 132 NA NA NA NA 13078 173 NA NA NA NA
1550613600.0 513.0 19 44 0 NA NA NA 62 100 0 NA NA NA 746 187 202 NA NA NA 1823 324 628 NA NA NA
1550613600.0 514.0 18 38 0 NA NA NA 62 102 0 NA NA NA 390 189 130 NA NA NA 818 360 235 NA NA NA
1550613600.0 516.0 16 42 0 NA NA NA 61 102 0 NA NA NA 551 173 115 NA NA NA 1969 244 240 NA NA NA
1550613600.0 517.0 17 45 0 NA NA NA 62 103 0 NA NA NA 875 186 114 NA NA NA 1349 407 155 NA NA NA
1550613600.0 519.0 20 46 0 NA NA NA 70 114 0 NA NA NA 800 242 192 NA NA NA 2475 457 589 NA NA NA
1550613600.0 520.0 15 46 0 NA NA NA 61 102 0 NA NA NA 916 187 130 NA NA NA 1367 340 363 NA NA NA
1550613600.0 521.0 17 41 0 NA NA NA 61 102 0 NA NA NA 730 233 141 NA NA NA 1781 328 213 NA NA NA
1550613600.0 524.0 17 38 0 NA NA NA 59 103 0 NA NA NA 917 189 127 NA NA NA 1471 396 267 NA NA NA
1550613600.0 525.0 18 36 0 NA NA NA 62 101 0 NA NA NA 579 200 133 NA NA NA 1157 431 291 NA NA NA
1550613600.0 527.0 16 39 0 NA NA NA 61 101 0 NA NA NA 905 198 142 NA NA NA 1545 375 348 NA NA NA
1550613600.0 528.0 17 41 0 NA NA NA 63 101 0 NA NA NA 601 178 139 NA NA NA 1303 328 413 NA NA NA
1550613600.0 530.0 19 40 0 NA NA NA 62 102 0 NA NA NA 903 183 131 NA NA NA 1208 373 307 NA NA NA
1550613600.0 531.0 63 0 NA NA NA NA 210 0 NA NA NA NA 276 136 NA NA NA NA 735 407 NA NA NA NA
1550613600.0 534.0 47 0 NA NA NA NA 120 0 NA NA NA NA 199 137 NA NA NA NA 344 415 NA NA NA NA
1550613600.0 535.0 43 0 NA NA NA NA 101 0 NA NA NA NA 699 131 NA NA NA NA 1038 260 NA NA NA NA
1550613600.0 536.0 43 0 NA NA NA NA 119 0 NA NA NA NA 500 141 NA NA NA NA 1228 318 NA NA NA NA
1550613600.0 541.0 48 0 NA NA NA NA 116 0 NA NA NA NA 261 124 NA NA NA NA 791 223 NA NA NA NA
1550613600.0 545.0 51 0 NA NA NA NA 115 0 NA NA NA NA 323 179 NA NA NA NA 621 586 NA NA NA NA
1550613600.0 551.0 24 45 0 NA NA NA 74 109 0 NA NA NA 1414 293 182 NA NA NA 3311 740 378 NA NA NA
1550613600.0 552.0 18 48 0 NA NA NA 65 113 0 NA NA NA 1225 233 205 NA NA NA 1948 380 623 NA NA NA
1550613600.0 554.0 18 46 0 NA NA NA 62 102 0 NA NA NA 1723 195 145 NA NA NA 2474 522 211 NA NA NA
1550613600.0 556.0 17 46 0 NA NA NA 74 117 0 NA NA NA 394 310 121 NA NA NA 1423 678 364 NA NA NA
1550613600.0 560.0 46 0 NA NA NA NA 103 0 NA NA NA NA 220 126 NA NA NA NA 354 262 NA NA NA NA
1550613600.0 561.0 41 0 NA NA NA NA 103 0 NA NA NA NA 274 154 NA NA NA NA 563 357 NA NA NA NA
1550613600.0 562.0 17 41 0 NA NA NA 62 96 0 NA NA NA 343 193 132 NA NA NA 783 372 334 NA NA NA
