Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1555275600.0 10003.0 NA 180 364 0 72 NA 622 720 0 126 NA 985 2778 1005 779 NA 1717 4839 1230 1152
1555275600.0 10006.0 NA 170 356 0 69 NA 609 719 0 125 NA 1144 2849 1313 740 NA 1731 4785 1723 1567
1555275600.0 10009.0 NA 181 362 0 80 NA 568 650 0 125 NA 1475 2591 1000 331 NA 2020 4159 1245 598
1555275600.0 102.0 92 NA NA NA NA 163 NA NA NA NA 1104 NA NA NA NA 1814 NA NA NA NA
1555275600.0 1020.0 NA 67 21 0 66 NA 140 69 0 138 NA 398 167 131 378 NA 1032 1105 1135 965
1555275600.0 10224.0 NA 351 618 0 NA NA 628 943 0 NA NA 4448 5912 1006 NA NA 3012 4706 1385 NA
1555275600.0 103.0 42 0 0 NA NA 100 0 0 NA NA 1342 373 1776 NA NA 2142 2599 5833 NA NA
1555275600.0 10424.0 NA 177 380 0 NA NA 621 737 0 NA NA 1232 2962 963 NA NA 1838 4159 1136 NA
1555275600.0 106.0 41 0 0 NA NA 100 0 0 NA NA 1453 378 1751 NA NA 2274 2958 5937 NA NA
1555275600.0 10824.1 NA 304 217 0 NA NA 638 392 0 NA NA 2698 1039 562 NA NA 3774 1755 1204 NA
1555275600.0 109.0 95 124 295 NA NA 194 551 641 NA NA 3990 744 2940 NA NA 2329 857 3678 NA NA
1555275600.0 11.0 NA 118 295 0 65 NA 470 666 0 120 NA 2492 2114 773 810 NA 2241 2871 1009 1990
1555275600.0 116.0 100 115 289 NA NA 205 587 637 NA NA 3294 983 2037 NA NA 2219 1698 2396 NA NA
1555275600.0 121.0 89 118 295 NA NA 208 543 651 NA NA 3168 696 2408 NA NA 2378 943 2903 NA NA
1555275600.0 127.0 58 106 281 NA NA 134 586 613 NA NA 1680 854 2735 NA NA 1787 2069 4055 NA NA
1555275600.0 128.0 64 111 281 NA NA 130 597 624 NA NA 715 676 2284 NA NA 1430 898 3157 NA NA
