Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1565125200.0 1.0 76 95 NA NA NA NA NA NA NA 206 480 NA NA NA NA NA NA NA 953 487 NA NA NA NA NA NA NA 1452 1583 NA NA NA NA NA NA NA
1565125200.0 10.0 NA 130 NA NA NA NA NA NA NA NA 485 NA NA NA NA NA NA NA NA 2293 NA NA NA NA NA NA NA NA 2528 NA NA NA NA NA NA NA
1565125200.0 1000.0 NA 280 158 0 48 NA NA NA NA NA 619 299 0 101 NA NA NA NA NA 3662 1385 835 345 NA NA NA NA NA 4998 3152 1375 763 NA NA NA NA
1565125200.0 10002.0 NA 201 NA NA NA NA NA NA NA NA 523 NA NA NA NA NA NA NA NA 2863 NA NA NA NA NA NA NA NA 2644 NA NA NA NA NA NA NA
1565125200.0 10003.0 NA 204 NA NA NA NA NA NA NA NA 531 NA NA NA NA NA NA NA NA 3391 NA NA NA NA NA NA NA NA 3316 NA NA NA NA NA NA NA
1565125200.0 10004.0 NA 202 NA NA NA NA NA NA NA NA 542 NA NA NA NA NA NA NA NA 3153 NA NA NA NA NA NA NA NA 2425 NA NA NA NA NA NA NA
1565125200.0 10005.0 NA 203 NA NA NA NA NA NA NA NA 519 NA NA NA NA NA NA NA NA 2997 NA NA NA NA NA NA NA NA 2069 NA NA NA NA NA NA NA
1565125200.0 10006.0 NA 202 NA NA NA NA NA NA NA NA 536 NA NA NA NA NA NA NA NA 3093 NA NA NA NA NA NA NA NA 4476 NA NA NA NA NA NA NA
1565125200.0 10007.0 NA 206 NA NA NA NA NA NA NA NA 525 NA NA NA NA NA NA NA NA 3374 NA NA NA NA NA NA NA NA 3471 NA NA NA NA NA NA NA
1565125200.0 10008.0 NA 205 NA NA NA NA NA NA NA NA 535 NA NA NA NA NA NA NA NA 3038 NA NA NA NA NA NA NA NA 2069 NA NA NA NA NA NA NA
1565125200.0 1001.0 NA 253 109 0 0 0 0 0 0 NA 553 182 0 0 0 0 0 0 NA 2937 686 115 93 141 309 131 280 NA 4907 1561 447 339 519 778 327 549
1565125200.0 1001.2 NA 355 124 0 NA NA NA NA NA NA 677 214 0 NA NA NA NA NA NA 15043 1753 148 NA NA NA NA NA NA 8105 2076 525 NA NA NA NA NA
1565125200.0 10023.0 NA 202 NA NA NA NA NA NA NA NA 533 NA NA NA NA NA NA NA NA 2713 NA NA NA NA NA NA NA NA 2177 NA NA NA NA NA NA NA
1565125200.0 10024.0 NA 213 NA NA NA NA NA NA NA NA 530 NA NA NA NA NA NA NA NA 3416 NA NA NA NA NA NA NA NA 3375 NA NA NA NA NA NA NA
1565125200.0 10024.1 NA 212 177 0 NA NA NA NA NA NA 544 321 0 NA NA NA NA NA NA 2929 989 351 NA NA NA NA NA NA 2557 2157 395 NA NA NA NA NA
1565125200.0 10024.2 NA 213 NA NA NA NA NA NA NA NA 517 NA NA NA NA NA NA NA NA 2840 NA NA NA NA NA NA NA NA 2427 NA NA NA NA NA NA NA
1565125200.0 10024.3 NA 213 165 0 NA NA NA NA NA NA 513 305 0 NA NA NA NA NA NA 2916 1081 364 NA NA NA NA NA NA 2860 2257 622 NA NA NA NA NA
1565125200.0 10024.4 NA 211 NA NA NA NA NA NA NA NA 540 NA NA NA NA NA NA NA NA 3184 NA NA NA NA NA NA NA NA 2582 NA NA NA NA NA NA NA
1565125200.0 10024.5 NA 229 89 0 NA NA NA NA NA NA 534 226 0 NA NA NA NA NA NA 2251 496 148 NA NA NA NA NA NA 1433 889 230 NA NA NA NA NA
1565125200.0 10026.0 NA 213 NA NA NA NA NA NA NA NA 563 NA NA NA NA NA NA NA NA 3296 NA NA NA NA NA NA NA NA 2884 NA NA NA NA NA NA NA
1565125200.0 1003.0 NA 249 0 NA NA NA NA NA NA NA 537 0 NA NA NA NA NA NA NA 3462 692 NA NA NA NA NA NA NA 4057 1263 NA NA NA NA NA NA
1565125200.0 1004.0 NA 199 84 0 0 0 0 NA NA NA 323 157 0 0 0 0 NA NA NA 1105 376 100 143 318 315 NA NA NA 3591 1500 254 397 781 459 NA NA
1565125200.0 10042.0 NA 208 NA NA NA NA NA NA NA NA 543 NA NA NA NA NA NA NA NA 3224 NA NA NA NA NA NA NA NA 2839 NA NA NA NA NA NA NA
1565125200.0 10059.0 NA 223 NA NA NA NA NA NA NA NA 555 NA NA NA NA NA NA NA NA 3280 NA NA NA NA NA NA NA NA 2504 NA NA NA NA NA NA NA
1565125200.0 101.0 74 NA NA NA NA NA NA NA NA 173 NA NA NA NA NA NA NA NA 964 NA NA NA NA NA NA NA NA 1353 NA NA NA NA NA NA NA NA
1565125200.0 1010.0 NA 21 38 0 NA NA NA NA NA NA 84 101 0 NA NA NA NA NA NA 146 230 165 NA NA NA NA NA NA 375 437 605 NA NA NA NA NA
1565125200.0 102.0 76 NA NA NA NA NA NA NA NA 173 NA NA NA NA NA NA NA NA 862 NA NA NA NA NA NA NA NA 1225 NA NA NA NA NA NA NA NA
1565125200.0 1020.0 NA 37 19 0 38 NA NA NA NA NA 143 72 0 140 NA NA NA NA NA 254 129 94 271 NA NA NA NA NA 387 262 293 889 NA NA NA NA
1565125200.0 10224.0 NA 363 NA NA NA NA NA NA NA NA 711 NA NA NA NA NA NA NA NA 5720 NA NA NA NA NA NA NA NA 4594 NA NA NA NA NA NA NA
1565125200.0 10225.0 NA 366 NA NA NA NA NA NA NA NA 745 NA NA NA NA NA NA NA NA 5638 NA NA NA NA NA NA NA NA 3201 NA NA NA NA NA NA NA
1565125200.0 103.0 34 0 NA NA NA NA NA NA NA 96 0 NA NA NA NA NA NA NA 413 249 NA NA NA NA NA NA NA 852 583 NA NA NA NA NA NA NA
1565125200.0 1030.0 NA 160 44 0 0 NA NA NA NA NA 341 100 0 0 NA NA NA NA NA 8949 315 81 87 NA NA NA NA NA 9054 668 194 224 NA NA NA NA
1565125200.0 1040.0 NA 328 27 0 NA NA NA NA NA NA 722 76 0 NA NA NA NA NA NA 12756 198 133 NA NA NA NA NA NA 7918 842 363 NA NA NA NA NA
1565125200.0 1040.1 NA 67 26 0 NA NA NA NA NA NA 144 73 0 NA NA NA NA NA NA 508 196 136 NA NA NA NA NA NA 619 402 647 NA NA NA NA NA
1565125200.0 10424.0 NA 170 NA NA NA NA NA NA NA NA 474 NA NA NA NA NA NA NA NA 1238 NA NA NA NA NA NA NA NA 1749 NA NA NA NA NA NA NA
1565125200.0 105.0 93 111 33 NA NA NA NA NA NA 210 421 75 NA NA NA NA NA NA 1032 521 127 NA NA NA NA NA NA 1863 1226 321 NA NA NA NA NA NA
1565125200.0 106.0 41 0 NA NA NA NA NA NA NA 97 0 NA NA NA NA NA NA NA 433 312 NA NA NA NA NA NA NA 791 1019 NA NA NA NA NA NA NA
1565125200.0 107.0 77 101 NA NA NA NA NA NA NA 204 439 NA NA NA NA NA NA NA 2075 600 NA NA NA NA NA NA NA 2469 956 NA NA NA NA NA NA NA
1565125200.0 108.0 75 107 NA NA NA NA NA NA NA 206 463 NA NA NA NA NA NA NA 3043 633 NA NA NA NA NA NA NA 2305 1298 NA NA NA NA NA NA NA
1565125200.0 10801.0 NA 194 NA NA NA NA NA NA NA NA 490 NA NA NA NA NA NA NA NA 3115 NA NA NA NA NA NA NA NA 4203 NA NA NA NA NA NA NA
1565125200.0 10802.0 NA 198 NA NA NA NA NA NA NA NA 552 NA NA NA NA NA NA NA NA 2746 NA NA NA NA NA NA NA NA 5977 NA NA NA NA NA NA NA
1565125200.0 10803.0 NA 195 NA NA NA NA NA NA NA NA 513 NA NA NA NA NA NA NA NA 2888 NA NA NA NA NA NA NA NA 3904 NA NA NA NA NA NA NA
1565125200.0 10804.0 NA 194 NA NA NA NA NA NA NA NA 560 NA NA NA NA NA NA NA NA 3103 NA NA NA NA NA NA NA NA 4189 NA NA NA NA NA NA NA
1565125200.0 10805.0 NA 193 NA NA NA NA NA NA NA NA 521 NA NA NA NA NA NA NA NA 2784 NA NA NA NA NA NA NA NA 2958 NA NA NA NA NA NA NA
1565125200.0 10806.0 NA 194 NA NA NA NA NA NA NA NA 527 NA NA NA NA NA NA NA NA 3134 NA NA NA NA NA NA NA NA 2885 NA NA NA NA NA NA NA
1565125200.0 10807.0 NA 198 NA NA NA NA NA NA NA NA 588 NA NA NA NA NA NA NA NA 3083 NA NA NA NA NA NA NA NA 4072 NA NA NA NA NA NA NA
1565125200.0 10809.0 NA 197 NA NA NA NA NA NA NA NA 550 NA NA NA NA NA NA NA NA 3106 NA NA NA NA NA NA NA NA 4236 NA NA NA NA NA NA NA
1565125200.0 10823.0 NA 198 NA NA NA NA NA NA NA NA 531 NA NA NA NA NA NA NA NA 3073 NA NA NA NA NA NA NA NA 3596 NA NA NA NA NA NA NA
1565125200.0 10824.0 NA 209 NA NA NA NA NA NA NA NA 566 NA NA NA NA NA NA NA NA 3104 NA NA NA NA NA NA NA NA 6256 NA NA NA NA NA NA NA
1565125200.0 10824.1 NA 207 180 0 NA NA NA NA NA NA 587 320 0 NA NA NA NA NA NA 2905 1080 412 NA NA NA NA NA NA 1789 2973 680 NA NA NA NA NA
1565125200.0 10824.5 NA 209 76 0 NA NA NA NA NA NA 571 219 0 NA NA NA NA NA NA 2731 549 168 NA NA NA NA NA NA 2555 2237 546 NA NA NA NA NA
1565125200.0 10824.6 NA 208 NA NA NA NA NA NA NA NA 579 NA NA NA NA NA NA NA NA 3187 NA NA NA NA NA NA NA NA 2530 NA NA NA NA NA NA NA
1565125200.0 10824.7 NA 180 NA NA NA NA NA NA NA NA 526 NA NA NA NA NA NA NA NA 1964 NA NA NA NA NA NA NA NA 2272 NA NA NA NA NA NA NA
1565125200.0 10824.8 NA 208 NA NA NA NA NA NA NA NA 574 NA NA NA NA NA NA NA NA 2949 NA NA NA NA NA NA NA NA 2675 NA NA NA NA NA NA NA
1565125200.0 10825.0 NA 199 NA NA NA NA NA NA NA NA 530 NA NA NA NA NA NA NA NA 2993 NA NA NA NA NA NA NA NA 2613 NA NA NA NA NA NA NA
1565125200.0 10826.0 NA 209 NA NA NA NA NA NA NA NA 535 NA NA NA NA NA NA NA NA 2654 NA NA NA NA NA NA NA NA 2405 NA NA NA NA NA NA NA
1565125200.0 10842.0 NA 202 NA NA NA NA NA NA NA NA 514 NA NA NA NA NA NA NA NA 3147 NA NA NA NA NA NA NA NA 4244 NA NA NA NA NA NA NA
1565125200.0 10871.0 NA 203 NA NA NA NA NA NA NA NA 551 NA NA NA NA NA NA NA NA 3167 NA NA NA NA NA NA NA NA 4242 NA NA NA NA NA NA NA
1565125200.0 109.0 73 109 NA NA NA NA NA NA NA 206 410 NA NA NA NA NA NA NA 2919 713 NA NA NA NA NA NA NA 2743 1735 NA NA NA NA NA NA NA
1565125200.0 11.0 NA 117 261 0 65 NA NA NA NA NA 463 655 0 118 NA NA NA NA NA 1998 2147 778 352 NA NA NA NA NA 3423 4024 1333 1235 NA NA NA NA
1565125200.0 110.0 58 99 NA NA NA NA NA NA NA 138 406 NA NA NA NA NA NA NA 630 540 NA NA NA NA NA NA NA 1680 859 NA NA NA NA NA NA NA
1565125200.0 1102.0 NA 128 NA NA NA NA NA NA NA NA 502 NA NA NA NA NA NA NA NA 2744 NA NA NA NA NA NA NA NA 5442 NA NA NA NA NA NA NA
1565125200.0 11024.0 NA 400 NA NA NA NA NA NA NA NA 780 NA NA NA NA NA NA NA NA 6410 NA NA NA NA NA NA NA NA 4416 NA NA NA NA NA NA NA
1565125200.0 11024.2 NA 420 NA NA NA NA NA NA NA NA 865 NA NA NA NA NA NA NA NA 6745 NA NA NA NA NA NA NA NA 4563 NA NA NA NA NA NA NA
1565125200.0 11024.3 NA 418 NA NA NA NA NA NA NA NA 764 NA NA NA NA NA NA NA NA 7584 NA NA NA NA NA NA NA NA 5182 NA NA NA NA NA NA NA
1565125200.0 11024.6 NA 406 NA NA NA NA NA NA NA NA 802 NA NA NA NA NA NA NA NA 7308 NA NA NA NA NA NA NA NA 5134 NA NA NA NA NA NA NA
1565125200.0 11025.0 NA 415 NA NA NA NA NA NA NA NA 844 NA NA NA NA NA NA NA NA 6431 NA NA NA NA NA NA NA NA 4115 NA NA NA NA NA NA NA
1565125200.0 111.0 72 103 NA NA NA NA NA NA NA 201 459 NA NA NA NA NA NA NA 1331 526 NA NA NA NA NA NA NA 1980 1389 NA NA NA NA NA NA NA
1565125200.0 112.0 83 102 NA NA NA NA NA NA NA 214 459 NA NA NA NA NA NA NA 1782 605 NA NA NA NA NA NA NA 1640 1455 NA NA NA NA NA NA NA
1565125200.0 11224.0 NA 173 NA NA NA NA NA NA NA NA 542 NA NA NA NA NA NA NA NA 1265 NA NA NA NA NA NA NA NA 1824 NA NA NA NA NA NA NA
1565125200.0 11224.6 NA 186 NA NA NA NA NA NA NA NA 560 NA NA NA NA NA NA NA NA 1321 NA NA NA NA NA NA NA NA 1668 NA NA NA NA NA NA NA
1565125200.0 113.0 85 103 NA NA NA NA NA NA NA 220 410 NA NA NA NA NA NA NA 2127 612 NA NA NA NA NA NA NA 2192 916 NA NA NA NA NA NA NA
1565125200.0 114.0 84 105 NA NA NA NA NA NA NA 204 401 NA NA NA NA NA NA NA 1824 623 NA NA NA NA NA NA NA 2660 1289 NA NA NA NA NA NA NA
1565125200.0 115.0 78 105 NA NA NA NA NA NA NA 216 465 NA NA NA NA NA NA NA 2338 620 NA NA NA NA NA NA NA 1984 1164 NA NA NA NA NA NA NA
1565125200.0 116.0 90 106 NA NA NA NA NA NA NA 226 400 NA NA NA NA NA NA NA 2778 606 NA NA NA NA NA NA NA 3335 794 NA NA NA NA NA NA NA
1565125200.0 11634.0 NA 260 NA NA NA NA NA NA NA NA 663 NA NA NA NA NA NA NA NA 3039 NA NA NA NA NA NA NA NA 5889 NA NA NA NA NA NA NA
1565125200.0 11640.0 NA 238 NA NA NA NA NA NA NA NA 693 NA NA NA NA NA NA NA NA 2759 NA NA NA NA NA NA NA NA 6020 NA NA NA NA NA NA NA
1565125200.0 11646.0 NA 250 NA NA NA NA NA NA NA NA 623 NA NA NA NA NA NA NA NA 2829 NA NA NA NA NA NA NA NA 4490 NA NA NA NA NA NA NA
1565125200.0 11650.0 NA 251 NA NA NA NA NA NA NA NA 767 NA NA NA NA NA NA NA NA 2936 NA NA NA NA NA NA NA NA 4507 NA NA NA NA NA NA NA
1565125200.0 117.0 83 108 NA NA NA NA NA NA NA 226 412 NA NA NA NA NA NA NA 3151 629 NA NA NA NA NA NA NA 3328 841 NA NA NA NA NA NA NA
1565125200.0 118.0 80 105 NA NA NA NA NA NA NA 220 477 NA NA NA NA NA NA NA 3093 623 NA NA NA NA NA NA NA 3150 857 NA NA NA NA NA NA NA
1565125200.0 11834.0 NA 527 NA NA NA NA NA NA NA NA 1050 NA NA NA NA NA NA NA NA 8381 NA NA NA NA NA NA NA NA 7244 NA NA NA NA NA NA NA
1565125200.0 11846.0 NA 519 NA NA NA NA NA NA NA NA 963 NA NA NA NA NA NA NA NA 7826 NA NA NA NA NA NA NA NA 5135 NA NA NA NA NA NA NA
1565125200.0 119.0 78 103 NA NA NA NA NA NA NA 216 414 NA NA NA NA NA NA NA 1698 616 NA NA NA NA NA NA NA 2089 1282 NA NA NA NA NA NA NA
1565125200.0 12.0 NA 126 NA NA NA NA NA NA NA NA 451 NA NA NA NA NA NA NA NA 2233 NA NA NA NA NA NA NA NA 1916 NA NA NA NA NA NA NA
1565125200.0 120.0 56 99 NA NA NA NA NA NA NA 145 453 NA NA NA NA NA NA NA 650 563 NA NA NA NA NA NA NA 1990 1279 NA NA NA NA NA NA NA
1565125200.0 12024.0 NA 267 NA NA NA NA NA NA NA NA 721 NA NA NA NA NA NA NA NA 2718 NA NA NA NA NA NA NA NA 4563 NA NA NA NA NA NA NA
1565125200.0 121.0 77 108 NA NA NA NA NA NA NA 215 460 NA NA NA NA NA NA NA 2968 610 NA NA NA NA NA NA NA 2668 1136 NA NA NA NA NA NA NA
1565125200.0 122.0 36 0 NA NA NA NA NA NA NA 96 0 NA NA NA NA NA NA NA 433 310 NA NA NA NA NA NA NA 1449 795 NA NA NA NA NA NA NA
1565125200.0 123.1 270 NA NA NA NA NA NA NA NA 801 NA NA NA NA NA NA NA NA 1848 NA NA NA NA NA NA NA NA 5220 NA NA NA NA NA NA NA NA
1565125200.0 123.2 275 NA NA NA NA NA NA NA NA 852 NA NA NA NA NA NA NA NA 1978 NA NA NA NA NA NA NA NA 2233 NA NA NA NA NA NA NA NA
1565125200.0 123.3 227 NA NA NA NA NA NA NA NA 794 NA NA NA NA NA NA NA NA 1666 NA NA NA NA NA NA NA NA 3862 NA NA NA NA NA NA NA NA
1565125200.0 124.1 263 NA NA NA NA NA NA NA NA 810 NA NA NA NA NA NA NA NA 1693 NA NA NA NA NA NA NA NA 3339 NA NA NA NA NA NA NA NA
1565125200.0 124.2 268 NA NA NA NA NA NA NA NA 798 NA NA NA NA NA NA NA NA 1783 NA NA NA NA NA NA NA NA 5117 NA NA NA NA NA NA NA NA
1565125200.0 124.4 268 NA NA NA NA NA NA NA NA 868 NA NA NA NA NA NA NA NA 1719 NA NA NA NA NA NA NA NA 4570 NA NA NA NA NA NA NA NA
1565125200.0 124.5 268 NA NA NA NA NA NA NA NA 855 NA NA NA NA NA NA NA NA 1691 NA NA NA NA NA NA NA NA 5025 NA NA NA NA NA NA NA NA
1565125200.0 124.6 236 NA NA NA NA NA NA NA NA 805 NA NA NA NA NA NA NA NA 1683 NA NA NA NA NA NA NA NA 3765 NA NA NA NA NA NA NA NA
1565125200.0 12434.0 NA 266 NA NA NA NA NA NA NA NA 669 NA NA NA NA NA NA NA NA 3126 NA NA NA NA NA NA NA NA 4625 NA NA NA NA NA NA NA
1565125200.0 125.0 82 100 NA NA NA NA NA NA NA 209 424 NA NA NA NA NA NA NA 1878 591 NA NA NA NA NA NA NA 2034 783 NA NA NA NA NA NA NA
1565125200.0 126.0 58 98 NA NA NA NA NA NA NA 167 454 NA NA NA NA NA NA NA 1271 547 NA NA NA NA NA NA NA 2372 1429 NA NA NA NA NA NA NA
1565125200.0 12634.0 NA 547 NA NA NA NA NA NA NA NA 1011 NA NA NA NA NA NA NA NA 7858 NA NA NA NA NA NA NA NA 5685 NA NA NA NA NA NA NA
1565125200.0 127.0 55 96 NA NA NA NA NA NA NA 135 423 NA NA NA NA NA NA NA 1029 545 NA NA NA NA NA NA NA 2824 935 NA NA NA NA NA NA NA
1565125200.0 128.0 56 100 NA NA NA NA NA NA NA 136 410 NA NA NA NA NA NA NA 628 629 NA NA NA NA NA NA NA 1568 1691 NA NA NA NA NA NA NA
1565125200.0 12834.0 NA 263 NA NA NA NA NA NA NA NA 725 NA NA NA NA NA NA NA NA 3010 NA NA NA NA NA NA NA NA 5404 NA NA NA NA NA NA NA
1565125200.0 129.0 57 99 NA NA NA NA NA NA NA 144 474 NA NA NA NA NA NA NA 586 560 NA NA NA NA NA NA NA 1458 1349 NA NA NA NA NA NA NA
1565125200.0 130.0 58 101 NA NA NA NA NA NA NA 138 444 NA NA NA NA NA NA NA 684 539 NA NA NA NA NA NA NA 1991 1175 NA NA NA NA NA NA NA
1565125200.0 1301.0 72 154 NA NA NA NA NA NA NA 168 519 NA NA NA NA NA NA NA 1207 1577 NA NA NA NA NA NA NA 1633 1934 NA NA NA NA NA NA NA
1565125200.0 1301.17 61 201 NA NA NA NA NA NA NA 142 524 NA NA NA NA NA NA NA 1281 2929 NA NA NA NA NA NA NA 1836 2228 NA NA NA NA NA NA NA
1565125200.0 1302.0 84 159 NA NA NA NA NA NA NA 186 515 NA NA NA NA NA NA NA 3174 1683 NA NA NA NA NA NA NA 2427 1433 NA NA NA NA NA NA NA
1565125200.0 1302.17 67 206 NA NA NA NA NA NA NA 152 584 NA NA NA NA NA NA NA 3174 3088 NA NA NA NA NA NA NA 3095 1972 NA NA NA NA NA NA NA
1565125200.0 1302.18 65 199 180 NA NA NA NA NA NA 147 538 519 NA NA NA NA NA NA 3074 2665 1361 NA NA NA NA NA NA 2717 1963 2150 NA NA NA NA NA NA
1565125200.0 1303.0 72 161 NA NA NA NA NA NA NA 154 558 NA NA NA NA NA NA NA 6527 1678 NA NA NA NA NA NA NA 5689 2180 NA NA NA NA NA NA NA
1565125200.0 1303.17 70 210 NA NA NA NA NA NA NA 155 580 NA NA NA NA NA NA NA 5840 2610 NA NA NA NA NA NA NA 3945 1432 NA NA NA NA NA NA NA
1565125200.0 13034.0 NA 535 NA NA NA NA NA NA NA NA 956 NA NA NA NA NA NA NA NA 8837 NA NA NA NA NA NA NA NA 8963 NA NA NA NA NA NA NA
