Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1555362000.0 1002.0 NA 304 81 NA NA 624 143 NA NA 3392 417 NA NA 3229 433 NA
1555362000.0 103.0 45 0 0 NA 101 0 0 NA 1371 264 1646 NA 1409 835 4498 NA
1555362000.0 106.0 47 0 0 NA 102 0 0 NA 850 330 1736 NA 1134 408 2983 NA
1555362000.0 1325.51 NA 154 0 NA NA 272 0 NA NA 1792 174 NA NA 3421 756 NA
1555362000.0 1325.8 NA 183 0 NA NA 319 0 NA NA 4682 150 NA NA 5444 251 NA
1555362000.0 135.5 351 0 131 NA 854 0 218 NA 1437 277 688 NA 1817 360 2232 NA
1555362000.0 135.6 340 0 135 NA 858 0 218 NA 1504 285 731 NA 1804 427 2152 NA
1555362000.0 136.733 NA 178 71 0 NA 291 126 0 NA 1196 426 344 NA 1351 560 859
1555362000.0 136.7722 NA 162 0 NA NA 270 0 NA NA 5127 143 NA NA 6218 359 NA
1555362000.0 136.84 NA 115 447 0 NA 199 841 0 NA 714 16056 1092 NA 1391 6799 1645
1555362000.0 144.6 NA 299 NA NA NA 630 NA NA NA 2995 NA NA NA 4032 NA NA
1555362000.0 250206.0 NA 326 433 0 NA 672 763 0 NA 12339 3481 682 NA 7651 3972 855
1555362000.0 4001.0 NA 187 375 NA NA 572 698 NA NA 991 2791 NA NA 1001 3133 NA
1555362000.0 500206.0 NA 225 348 0 NA 571 688 0 NA 7348 3059 634 NA 4444 2656 1329
1555362000.0 511.0 46 0 NA NA 112 0 NA NA 9919 162 NA NA 13591 700 NA NA
1555362000.0 516.0 19 43 0 NA 60 93 0 NA 639 221 148 NA 1801 466 396 NA
1555362000.0 519.0 17 43 0 NA 60 93 0 NA 769 188 168 NA 3264 912 925 NA
1555362000.0 521.0 17 43 0 NA 60 95 0 NA 774 199 156 NA 3738 910 677 NA
1555362000.0 523.0 19 54 0 NA 60 104 0 NA 1083 215 135 NA 2868 464 382 NA
1555362000.0 528.0 17 40 0 NA 60 93 0 NA 764 200 153 NA 3652 1490 615 NA
1555362000.0 555.0 19 43 0 NA 60 87 0 NA 1233 190 141 NA 2813 285 397 NA
