Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1568098800.0 1.0 236 287 554 NA NA NA NA 2097340 2097280 2097370 NA NA NA NA 2615 2606 3714 NA NA NA NA 4889 8295 17644 NA NA NA NA
1568098800.0 10001.0 NA 281 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 7853 NA NA NA NA NA NA 21374 NA NA NA NA NA
1568098800.0 10002.0 NA 433 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 7862 NA NA NA NA NA NA 8880 NA NA NA NA NA
1568098800.0 10004.0 NA 457 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 7250 NA NA NA NA NA NA 6772 NA NA NA NA NA
1568098800.0 10005.0 NA 235 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 12113 NA NA NA NA NA NA 16577 NA NA NA NA NA
1568098800.0 10006.0 NA 256 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 11748 NA NA NA NA NA NA 14146 NA NA NA NA NA
1568098800.0 10007.0 NA 462 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 8507 NA NA NA NA NA NA 14221 NA NA NA NA NA
1568098800.0 10008.0 NA 336 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 10930 NA NA NA NA NA NA 13662 NA NA NA NA NA
1568098800.0 10009.0 NA 466 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 7164 NA NA NA NA NA NA 5243 NA NA NA NA NA
1568098800.0 10023.0 NA 390 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 9792 NA NA NA NA NA NA 18567 NA NA NA NA NA
1568098800.0 10024.0 NA 444 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 8700 NA NA NA NA NA NA 8021 NA NA NA NA NA
1568098800.0 10024.1 NA 329 389 0 NA NA NA NA 2097330 2097350 0 NA NA NA NA 10204 4232 1030 NA NA NA NA 11366 13233 4705 NA NA NA
1568098800.0 10024.2 NA 398 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 10168 NA NA NA NA NA NA 14365 NA NA NA NA NA
1568098800.0 10024.3 NA 353 383 0 NA NA NA NA 2097330 2097340 0 NA NA NA NA 8756 3839 1292 NA NA NA NA 9554 9700 5301 NA NA NA
1568098800.0 10024.4 NA 461 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 8153 NA NA NA NA NA NA 4202 NA NA NA NA NA
1568098800.0 10024.5 NA 401 271 0 NA NA NA NA 2097330 2097290 0 NA NA NA NA 9968 1392 486 NA NA NA NA 9832 4705 3344 NA NA NA
1568098800.0 10025.0 NA 459 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 8446 NA NA NA NA NA NA 6995 NA NA NA NA NA
1568098800.0 1003.0 NA 435 0 NA NA NA NA NA 2097410 0 NA NA NA NA NA 16483 1617 NA NA NA NA NA 45689 1787 NA NA NA NA
1568098800.0 1004.0 NA 281 223 0 0 0 0 NA 2097390 2097280 0 0 0 0 NA 5797 832 108 412 323 591 NA 27497 2052 151 2218 395 2842
1568098800.0 10059.0 NA 494 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 8014 NA NA NA NA NA NA 7934 NA NA NA NA NA
1568098800.0 10071.0 NA 452 NA NA NA NA NA NA 2097330 NA NA NA NA NA NA 7591 NA NA NA NA NA NA 6152 NA NA NA NA NA
1568098800.0 101.0 302 NA NA NA NA NA NA 2097310 NA NA NA NA NA NA 2187 NA NA NA NA NA NA 7889 NA NA NA NA NA NA
1568098800.0 1010.0 NA 111 147 0 NA NA NA NA 2097240 2097250 0 NA NA NA NA 202 378 287 NA NA NA NA 439 962 426 NA NA NA
1568098800.0 102.0 159 NA NA NA NA NA NA 2097310 NA NA NA NA NA NA 2296 NA NA NA NA NA NA 12611 NA NA NA NA NA NA
