Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1573164000.0 1.0 71 99 179 NA NA NA NA NA NA 215 418 497 NA NA NA NA NA NA 1156 840 2582 NA NA NA NA NA NA 1747 1471 3769 NA NA NA NA NA NA
1573164000.0 10.0 NA 129 282 0 NA NA NA NA NA NA 485 598 0 NA NA NA NA NA NA 2834 5745 1078 NA NA NA NA NA NA 2231 6692 1495 NA NA NA NA NA
1573164000.0 1000.0 NA 282 147 0 49 NA NA NA NA NA 574 288 0 120 NA NA NA NA NA 5152 2757 1121 1134 NA NA NA NA NA 6948 4204 1978 2059 NA NA NA NA
1573164000.0 10001.0 NA 204 352 0 68 128 NA NA NA NA 567 666 0 147 256 NA NA NA NA 3632 4021 1630 1978 3888 NA NA NA NA 2844 7509 3116 3343 8963 NA NA NA
1573164000.0 10002.0 NA 201 354 0 68 134 NA NA NA NA 576 608 0 147 289 NA NA NA NA 3685 3898 1525 1823 3694 NA NA NA NA 3400 6954 2563 3556 5487 NA NA NA
1573164000.0 10003.0 NA 206 358 0 68 142 NA NA NA NA 547 639 0 144 285 NA NA NA NA 3539 3970 1473 1783 3695 NA NA NA NA 2817 7134 2819 2685 5286 NA NA NA
1573164000.0 10004.0 NA 204 353 0 64 126 NA NA NA NA 603 676 0 137 272 NA NA NA NA 3558 3958 1492 1532 3625 NA NA NA NA 2799 7457 2556 2407 5701 NA NA NA
1573164000.0 10005.0 NA 204 354 0 68 137 NA NA NA NA 581 743 0 148 288 NA NA NA NA 3641 4028 1531 1718 3929 NA NA NA NA 2508 7776 2615 5094 8235 NA NA NA
1573164000.0 10006.0 NA 207 347 0 67 118 NA NA NA NA 538 601 0 139 238 NA NA NA NA 3442 3903 1476 1210 3591 NA NA NA NA 2857 7747 2331 2492 5479 NA NA NA
1573164000.0 10007.0 NA 205 355 0 68 133 NA NA NA NA 600 629 0 148 255 NA NA NA NA 3673 3925 1482 1435 3832 NA NA NA NA 3004 6468 2924 3300 8387 NA NA NA
1573164000.0 10008.0 NA 206 357 0 68 137 NA NA NA NA 582 629 0 150 293 NA NA NA NA 3929 4019 1555 2239 3855 NA NA NA NA 3219 7097 2947 4867 7490 NA NA NA
1573164000.0 10009.0 NA 206 355 0 68 139 NA NA NA NA 587 666 0 152 293 NA NA NA NA 3517 3998 1542 2238 3822 NA NA NA NA 3235 8216 2929 4275 7282 NA NA NA
1573164000.0 1001.0 NA 257 112 0 0 0 0 0 0 NA 541 200 0 0 0 0 0 0 NA 4710 1813 332 234 324 878 542 907 NA 7616 3218 1395 494 750 1190 790 1433
1573164000.0 1001.2 NA 361 128 0 NA NA NA NA NA NA 710 229 0 NA NA NA NA NA NA 18954 3062 261 NA NA NA NA NA NA 10411 2950 435 NA NA NA NA NA
1573164000.0 1002.0 NA 280 75 NA NA NA NA NA NA NA 547 158 NA NA NA NA NA NA NA 5361 1650 NA NA NA NA NA NA NA 9364 2933 NA NA NA NA NA NA
1573164000.0 10023.0 NA 205 347 0 68 118 NA NA NA NA 586 668 0 147 236 NA NA NA NA 3626 3940 1503 1425 3741 NA NA NA NA 3021 8493 2981 3331 7945 NA NA NA
1573164000.0 10024.0 NA 212 374 0 69 147 NA NA NA NA 599 704 0 151 281 NA NA NA NA 3549 4446 1614 2020 3971 NA NA NA NA 2746 7775 2939 3819 7518 NA NA NA
