Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1577484000.0 1.0 234 301 677 NA NA NA NA NA NA 2097310 2097290 2097360 NA NA NA NA NA NA 1946 1036 1821 NA NA NA NA NA NA 1254 808 2071 NA NA NA NA NA NA
1577484000.0 10.0 NA 353 839 0 NA NA NA NA NA NA 2097310 2097450 0 NA NA NA NA NA NA 5755 9889 829 NA NA NA NA NA NA 1942 4471 902 NA NA NA NA NA
1577484000.0 1000.0 NA 829 389 0 208 NA NA NA NA NA 2097420 2097340 0 2097250 NA NA NA NA NA 8369 2668 1673 617 NA NA NA NA NA 3914 2796 1742 830 NA NA NA NA
1577484000.0 10001.0 NA 451 966 0 226 346 NA NA NA NA 2097330 2097470 0 2097260 2097330 NA NA NA NA 5964 3394 1238 436 1253 NA NA NA NA 2098 3424 1299 565 1335 NA NA NA
1577484000.0 10002.0 NA 452 969 0 222 359 NA NA NA NA 2097330 2097470 0 2097260 2097350 NA NA NA NA 5980 3413 1246 435 1305 NA NA NA NA 2082 3427 1306 563 1344 NA NA NA
1577484000.0 10003.0 NA 453 976 0 228 362 NA NA NA NA 2097330 2097470 0 2097260 2097350 NA NA NA NA 5974 3481 1260 575 1275 NA NA NA NA 2106 3447 1318 595 1335 NA NA NA
1577484000.0 10004.0 NA 450 968 0 214 350 NA NA NA NA 2097330 2097470 0 2097260 2097350 NA NA NA NA 5938 3349 1257 420 1269 NA NA NA NA 2058 3438 1324 558 1327 NA NA NA
1577484000.0 10005.0 NA 453 974 0 225 357 NA NA NA NA 2097330 2097470 0 2097270 2097350 NA NA NA NA 5973 3295 1255 629 1304 NA NA NA NA 2135 3578 1353 623 1379 NA NA NA
1577484000.0 10006.0 NA 453 975 0 214 337 NA NA NA NA 2097330 2097470 0 2097260 2097330 NA NA NA NA 6037 3335 1271 421 1287 NA NA NA NA 2126 3264 1422 493 1503 NA NA NA
1577484000.0 10007.0 NA 477 993 0 231 355 NA NA NA NA 2097330 2097470 0 2097260 2097350 NA NA NA NA 6107 3567 1250 441 1257 NA NA NA NA 2149 3283 1316 750 1314 NA NA NA
1577484000.0 10008.0 NA 463 990 0 222 361 NA NA NA NA 2097330 2097470 0 2097260 2097350 NA NA NA NA 6392 3953 1377 480 1449 NA NA NA NA 2301 4117 1528 629 2198 NA NA NA
1577484000.0 10009.0 NA 481 1000 0 221 360 NA NA NA NA 2097330 2097470 0 2097270 2097350 NA NA NA NA 6180 3772 1278 438 1333 NA NA NA NA 2170 3373 1415 531 1514 NA NA NA
1577484000.0 1001.0 NA 793 332 0 0 0 0 0 0 NA 2097400 2097310 0 0 0 0 0 0 NA 6961 1150 219 105 200 314 413 307 NA 3201 993 268 221 284 383 469 335
