Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1591995600.0 1.0 61 175 167 NA NA NA NA NA NA 173 702 499 NA NA NA NA NA NA 906 434 1061 NA NA NA NA NA NA 1070 485 1287 NA NA NA NA NA NA
1591995600.0 10.0 NA 202 285 0 NA NA NA NA NA NA 691 601 0 NA NA NA NA NA NA 2193 3264 482 NA NA NA NA NA NA 2461 3429 580 NA NA NA NA NA
1591995600.0 1000.0 NA 352 142 0 52 NA NA NA NA NA 735 266 0 107 NA NA NA NA NA 2965 1062 364 267 NA NA NA NA NA 3780 1553 525 297 NA NA NA NA
1591995600.0 10001.0 NA 278 371 0 62 125 NA NA NA NA 813 666 0 129 239 NA NA NA NA 2689 2047 738 255 732 NA NA NA NA 1225 3202 905 420 914 NA NA NA
1591995600.0 10002.0 NA 277 373 0 62 149 NA NA NA NA 727 733 0 130 303 NA NA NA NA 2739 2039 740 253 773 NA NA NA NA 1398 2897 902 406 972 NA NA NA
1591995600.0 10003.0 NA 279 374 0 62 150 NA NA NA NA 766 750 0 127 303 NA NA NA NA 2683 2074 749 248 764 NA NA NA NA 1422 2751 909 396 993 NA NA NA
1591995600.0 10004.0 NA 279 371 0 60 137 NA NA NA NA 736 680 0 129 298 NA NA NA NA 2657 1953 722 229 674 NA NA NA NA 1687 2984 1107 416 901 NA NA NA
1591995600.0 10005.0 NA 280 367 0 62 146 NA NA NA NA 741 727 0 127 299 NA NA NA NA 2707 2020 736 250 744 NA NA NA NA 1560 3471 894 454 964 NA NA NA
1591995600.0 10006.0 NA 281 365 0 60 120 NA NA NA NA 745 687 0 127 249 NA NA NA NA 2693 1984 737 248 704 NA NA NA NA 1293 2669 894 433 936 NA NA NA
1591995600.0 10007.0 NA 281 375 0 62 145 NA NA NA NA 732 689 0 131 298 NA NA NA NA 2742 2070 757 255 744 NA NA NA NA 1432 3324 935 396 954 NA NA NA
1591995600.0 10008.0 NA 281 369 0 62 154 NA NA NA NA 745 726 0 133 303 NA NA NA NA 2766 2046 736 252 757 NA NA NA NA 1153 3299 893 448 951 NA NA NA
1591995600.0 10009.0 NA 280 378 0 64 147 NA NA NA NA 778 796 0 130 299 NA NA NA NA 2751 2111 747 253 746 NA NA NA NA 1403 2773 918 422 989 NA NA NA
1591995600.0 1001.0 NA 333 107 0 0 0 0 0 0 NA 639 202 0 0 0 0 0 0 NA 2625 565 91 67 101 232 109 231 NA 3495 843 250 185 183 310 185 277
1591995600.0 1001.2 NA 391 130 0 NA NA NA NA NA NA 730 247 0 NA NA NA NA NA NA 14203 1666 114 NA NA NA NA NA NA 6385 1059 160 NA NA NA NA NA
1591995600.0 1002.0 NA 0 NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA 1173 NA NA NA NA NA NA NA NA 1376 NA NA NA NA NA NA NA
1591995600.0 10023.0 NA 280 368 0 62 120 NA NA NA NA 734 672 0 133 246 NA NA NA NA 2718 1977 744 251 711 NA NA NA NA 1320 2570 891 395 982 NA NA NA
1591995600.0 10024.0 NA 291 386 0 64 153 NA NA NA NA 782 761 0 128 314 NA NA NA NA 2832 2245 777 267 763 NA NA NA NA 1151 3482 1019 467 979 NA NA NA
1591995600.0 10024.1 NA 289 189 0 NA NA NA NA NA NA 707 302 0 NA NA NA NA NA NA 2731 813 402 NA NA NA NA NA NA 1180 1010 494 NA NA NA NA NA
1591995600.0 10024.2 NA 289 382 0 NA NA NA NA NA NA 788 741 0 NA NA NA NA NA NA 2789 2256 762 NA NA NA NA NA NA 1618 3248 927 NA NA NA NA NA
1591995600.0 10024.3 NA 291 175 0 NA NA NA NA NA NA 770 308 0 NA NA NA NA NA NA 2782 803 345 NA NA NA NA NA NA 1326 1152 406 NA NA NA NA NA
1591995600.0 10024.4 NA 288 381 0 NA NA NA NA NA NA 789 683 0 NA NA NA NA NA NA 2696 2182 720 NA NA NA NA NA NA 1637 3594 904 NA NA NA NA NA
1591995600.0 10024.5 NA 290 76 0 NA NA NA NA NA NA 758 145 0 NA NA NA NA NA NA 2736 370 122 NA NA NA NA NA NA 1171 422 153 NA NA NA NA NA
