Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1580767200.0 1.0 67 100 175 NA NA NA NA NA NA 211 452 521 NA NA NA NA NA NA 899 425 1038 NA NA NA NA NA NA 766 461 1374 NA NA NA NA NA NA
1580767200.0 10.0 NA 139 280 0 NA NA NA NA NA NA 485 668 0 NA NA NA NA NA NA 2055 3048 419 NA NA NA NA NA NA 817 1857 464 NA NA NA NA NA
1580767200.0 1000.0 NA 278 148 0 59 NA NA NA NA NA 617 289 0 116 NA NA NA NA NA 2663 1074 492 266 NA NA NA NA NA 1615 945 568 322 NA NA NA NA
1580767200.0 10001.0 NA 207 351 0 68 120 NA NA NA NA 543 744 0 146 238 NA NA NA NA 2498 1727 502 315 583 NA NA NA NA 903 1713 535 309 683 NA NA NA
1580767200.0 10002.0 NA 208 356 0 68 134 NA NA NA NA 564 636 0 145 263 NA NA NA NA 2473 1820 528 252 646 NA NA NA NA 880 2421 648 545 755 NA NA NA
1580767200.0 10003.0 NA 206 352 0 76 132 NA NA NA NA 556 713 0 144 263 NA NA NA NA 2560 1825 532 235 613 NA NA NA NA 969 2096 676 336 732 NA NA NA
1580767200.0 10004.0 NA 209 351 0 70 132 NA NA NA NA 554 763 0 140 256 NA NA NA NA 2584 1780 516 333 569 NA NA NA NA 924 1818 562 402 642 NA NA NA
1580767200.0 10005.0 NA 218 346 0 68 134 NA NA NA NA 560 626 0 143 269 NA NA NA NA 2469 1814 517 374 679 NA NA NA NA 883 2427 622 473 979 NA NA NA
1580767200.0 10006.0 NA 208 349 0 64 118 NA NA NA NA 576 632 0 142 230 NA NA NA NA 2657 1784 555 293 568 NA NA NA NA 957 2036 758 317 630 NA NA NA
1580767200.0 10007.0 NA 210 356 0 68 128 NA NA NA NA 551 753 0 146 258 NA NA NA NA 2667 1792 548 259 597 NA NA NA NA 995 1837 817 536 655 NA NA NA
1580767200.0 10008.0 NA 210 364 0 70 141 NA NA NA NA 562 714 0 143 263 NA NA NA NA 2594 1740 533 239 595 NA NA NA NA 923 1712 605 325 654 NA NA NA
1580767200.0 10009.0 NA 209 358 0 75 135 NA NA NA NA 564 747 0 144 269 NA NA NA NA 2541 1859 511 251 611 NA NA NA NA 929 1871 549 346 746 NA NA NA
1580767200.0 1001.0 NA 258 128 0 0 0 0 0 0 NA 609 213 0 0 0 0 0 0 NA 2466 562 95 72 111 237 108 234 NA 1498 435 172 164 208 286 135 268
1580767200.0 1001.2 NA 377 136 0 NA NA NA NA NA NA 778 249 0 NA NA NA NA NA NA 13882 1771 107 NA NA NA NA NA NA 4561 1075 128 NA NA NA NA NA
1580767200.0 1002.0 NA 269 76 NA NA NA NA NA NA NA 579 153 NA NA NA NA NA NA NA 2804 355 NA NA NA NA NA NA NA 2676 222 NA NA NA NA NA NA
1580767200.0 10023.0 NA 208 361 0 73 128 NA NA NA NA 561 693 0 141 231 NA NA NA NA 2580 1724 543 232 564 NA NA NA NA 939 1759 612 299 633 NA NA NA
1580767200.0 10024.0 NA 220 368 0 83 141 NA NA NA NA 564 714 0 143 263 NA NA NA NA 2676 1976 569 259 620 NA NA NA NA 933 1838 714 406 688 NA NA NA
1580767200.0 10024.1 NA 220 201 0 NA NA NA NA NA NA 589 349 0 NA NA NA NA NA NA 2574 822 319 NA NA NA NA NA NA 909 928 394 NA NA NA NA NA
1580767200.0 10024.2 NA 228 366 0 NA NA NA NA NA NA 581 667 0 NA NA NA NA NA NA 2602 1938 525 NA NA NA NA NA NA 910 1820 575 NA NA NA NA NA
1580767200.0 10024.3 NA 219 189 0 NA NA NA NA NA NA 574 332 0 NA NA NA NA NA NA 2706 831 278 NA NA NA NA NA NA 947 862 314 NA NA NA NA NA
1580767200.0 10024.4 NA 219 361 0 NA NA NA NA NA NA 573 720 0 NA NA NA NA NA NA 2567 1915 527 NA NA NA NA NA NA 904 1789 565 NA NA NA NA NA
1580767200.0 10024.5 NA 217 81 0 NA NA NA NA NA NA 562 240 0 NA NA NA NA NA NA 2652 406 128 NA NA NA NA NA NA 926 488 219 NA NA NA NA NA
1580767200.0 10025.0 NA 218 364 0 73 136 NA NA NA NA 554 787 0 149 281 NA NA NA NA 2559 1865 552 361 598 NA NA NA NA 890 1874 655 412 654 NA NA NA
1580767200.0 10026.0 NA 222 366 0 74 135 NA NA NA NA 557 727 0 147 282 NA NA NA NA 2569 2209 557 260 696 NA NA NA NA 898 2514 653 502 973 NA NA NA
1580767200.0 1003.0 NA 287 0 NA NA NA NA NA NA NA 705 0 NA NA NA NA NA NA NA 2918 383 NA NA NA NA NA NA NA 1690 426 NA NA NA NA NA NA
1580767200.0 1004.0 NA 211 89 0 0 0 0 NA NA NA 343 171 0 0 0 0 NA NA NA 809 266 75 101 238 230 NA NA NA 1400 442 130 158 267 263 NA NA
1580767200.0 10042.0 NA 214 359 0 69 136 NA NA NA NA 563 714 0 149 263 NA NA NA NA 2637 1876 544 260 606 NA NA NA NA 923 1917 602 452 680 NA NA NA
1580767200.0 10059.0 NA 239 376 0 82 134 NA NA NA NA 565 723 0 151 282 NA NA NA NA 2602 2734 552 260 673 NA NA NA NA 950 2463 682 443 824 NA NA NA
1580767200.0 10071.0 NA 218 366 0 70 143 NA NA NA NA 565 755 0 152 285 NA NA NA NA 2573 2019 530 251 589 NA NA NA NA 904 1913 568 330 636 NA NA NA
1580767200.0 101.0 81 NA NA NA NA NA NA NA NA 185 NA NA NA NA NA NA NA NA 782 NA NA NA NA NA NA NA NA 874 NA NA NA NA NA NA NA NA
1580767200.0 1010.0 NA 32 40 0 NA NA NA NA NA NA 95 116 0 NA NA NA NA NA NA 106 176 133 NA NA NA NA NA NA 213 213 166 NA NA NA NA NA
1580767200.0 102.0 82 NA NA NA NA NA NA NA NA 185 NA NA NA NA NA NA NA NA 684 NA NA NA NA NA NA NA NA 834 NA NA NA NA NA NA NA NA
1580767200.0 1020.0 NA 50 29 0 47 NA NA NA NA NA 147 84 0 155 NA NA NA NA NA 217 93 64 213 NA NA NA NA NA 298 130 111 275 NA NA NA NA
1580767200.0 10224.0 NA 379 617 0 139 NA NA NA NA NA 772 1008 0 263 NA NA NA NA NA 4678 4227 558 643 NA NA NA NA NA 1962 2656 677 977 NA NA NA NA
1580767200.0 10225.0 NA 382 550 0 137 NA NA NA NA NA 748 986 0 265 NA NA NA NA NA 4783 4262 576 639 NA NA NA NA NA 1651 2698 627 706 NA NA NA NA
1580767200.0 103.0 33 0 0 NA NA NA NA NA NA 105 0 0 NA NA NA NA NA NA 380 212 1280 NA NA NA NA NA NA 517 279 1664 NA NA NA NA NA NA
1580767200.0 1030.0 NA 179 50 0 0 NA NA NA NA NA 330 115 0 0 NA NA NA NA NA 7131 232 59 62 NA NA NA NA NA 2595 188 86 112 NA NA NA NA
1580767200.0 1040.0 NA 345 36 0 NA NA NA NA NA NA 692 87 0 NA NA NA NA NA NA 11284 126 108 NA NA NA NA NA NA 3793 153 137 NA NA NA NA NA
1580767200.0 1040.1 NA 59 35 0 NA NA NA NA NA NA 147 87 0 NA NA NA NA NA NA 593 134 106 NA NA NA NA NA NA 544 163 133 NA NA NA NA NA
1580767200.0 10424.0 NA 176 356 0 NA NA NA NA NA NA 509 679 0 NA NA NA NA NA NA 1084 1962 570 NA NA NA NA NA NA 532 1823 728 NA NA NA NA NA
1580767200.0 105.0 69 108 33 NA NA NA NA NA NA 205 449 89 NA NA NA NA NA NA 930 461 98 NA NA NA NA NA NA 732 347 127 NA NA NA NA NA NA
