Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1584136800.0 1.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 10.0 NA 178 NA NA NA NA 698 NA NA NA NA 4356 NA NA NA NA 1654 NA NA NA
1584136800.0 1000.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 10001.0 NA 264 NA NA NA NA 793 NA NA NA NA 4668 NA NA NA NA 1952 NA NA NA
1584136800.0 10002.0 NA 257 NA NA NA NA 783 NA NA NA NA 4171 NA NA NA NA 1606 NA NA NA
1584136800.0 10003.0 NA 258 NA NA NA NA 721 NA NA NA NA 4171 NA NA NA NA 1592 NA NA NA
1584136800.0 10004.0 NA 264 NA NA NA NA 798 NA NA NA NA 4680 NA NA NA NA 1947 NA NA NA
1584136800.0 10005.0 NA 257 NA NA NA NA 735 NA NA NA NA 4165 NA NA NA NA 1615 NA NA NA
1584136800.0 10006.0 NA 264 NA NA NA NA 755 NA NA NA NA 4219 NA NA NA NA 1837 NA NA NA
1584136800.0 10007.0 NA 267 NA NA NA NA 729 NA NA NA NA 4267 NA NA NA NA 1804 NA NA NA
1584136800.0 10008.0 NA 266 NA NA NA NA 703 NA NA NA NA 4270 NA NA NA NA 1809 NA NA NA
1584136800.0 10009.0 NA 267 NA NA NA NA 749 NA NA NA NA 4266 NA NA NA NA 1802 NA NA NA
1584136800.0 1001.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 1001.2 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 1002.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 10023.0 NA 266 NA NA NA NA 701 NA NA NA NA 4130 NA NA NA NA 1614 NA NA NA
1584136800.0 10024.0 NA 266 NA NA NA NA 732 NA NA NA NA 4273 NA NA NA NA 1680 NA NA NA
1584136800.0 10024.1 NA 264 NA NA NA NA 749 NA NA NA NA 4689 NA NA NA NA 1767 NA NA NA
1584136800.0 10024.2 NA 271 NA NA NA NA 739 NA NA NA NA 4266 NA NA NA NA 1791 NA NA NA
1584136800.0 10024.3 NA 271 NA NA NA NA 788 NA NA NA NA 4292 NA NA NA NA 1687 NA NA NA
1584136800.0 10024.4 NA 271 NA NA NA NA 745 NA NA NA NA 4749 NA NA NA NA 1989 NA NA NA
1584136800.0 10024.5 NA 267 NA NA NA NA 770 NA NA NA NA 4369 NA NA NA NA 1444 NA NA NA
1584136800.0 10025.0 NA 262 NA NA NA NA 769 NA NA NA NA 4245 NA NA NA NA 1679 NA NA NA
1584136800.0 10026.0 NA 267 NA NA NA NA 734 NA NA NA NA 4296 NA NA NA NA 1754 NA NA NA
1584136800.0 1003.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 1004.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 10042.0 NA 261 NA NA NA NA 770 NA NA NA NA 4289 NA NA NA NA 1556 NA NA NA
1584136800.0 10059.0 NA 273 NA NA NA NA 735 NA NA NA NA 4347 NA NA NA NA 1650 NA NA NA
1584136800.0 10071.0 NA 267 NA NA NA NA 792 NA NA NA NA 4732 NA NA NA NA 1758 NA NA NA
1584136800.0 101.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 1010.0 NA 62 87 0 NA NA 205 249 0 NA NA 112 319 205 NA NA 208 361 349 NA
1584136800.0 102.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 1020.0 NA 73 61 0 79 NA 261 193 0 266 NA 254 109 80 267 NA 484 461 509 431
1584136800.0 10224.0 NA 430 NA NA NA NA 947 NA NA NA NA 8469 NA NA NA NA 3477 NA NA NA
1584136800.0 10225.0 NA 408 NA NA NA NA 918 NA NA NA NA 8365 NA NA NA NA 3414 NA NA NA
1584136800.0 103.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 1030.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 1040.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 1040.1 NA 103 66 0 NA NA 289 199 0 NA NA 579 148 206 NA NA 511 326 406 NA
1584136800.0 10424.0 NA 232 NA NA NA NA 690 NA NA NA NA 1502 NA NA NA NA 750 NA NA NA
1584136800.0 105.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 106.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 107.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 108.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 10801.0 NA 248 NA NA NA NA 723 NA NA NA NA 4055 NA NA NA NA 1640 NA NA NA
1584136800.0 10802.0 NA 248 NA NA NA NA 716 NA NA NA NA 4122 NA NA NA NA 1547 NA NA NA
1584136800.0 10803.0 NA 248 NA NA NA NA 709 NA NA NA NA 4082 NA NA NA NA 1609 NA NA NA
1584136800.0 10804.0 NA 247 NA NA NA NA 743 NA NA NA NA 4037 NA NA NA NA 1656 NA NA NA
1584136800.0 10805.0 NA 261 NA NA NA NA 698 NA NA NA NA 4039 NA NA NA NA 1620 NA NA NA
1584136800.0 10806.0 NA 247 NA NA NA NA 711 NA NA NA NA 4057 NA NA NA NA 1803 NA NA NA
1584136800.0 10807.0 NA 259 NA NA NA NA 749 NA NA NA NA 4571 NA NA NA NA 1962 NA NA NA
1584136800.0 10808.0 NA 262 NA NA NA NA 716 NA NA NA NA 4082 NA NA NA NA 1788 NA NA NA
1584136800.0 10809.0 NA 252 NA NA NA NA 733 NA NA NA NA 4092 NA NA NA NA 1594 NA NA NA
1584136800.0 10823.0 NA 252 NA NA NA NA 742 NA NA NA NA 4078 NA NA NA NA 1633 NA NA NA
1584136800.0 10824.0 NA 265 NA NA NA NA 759 NA NA NA NA 4282 NA NA NA NA 1890 NA NA NA
1584136800.0 10824.1 NA 288 NA NA NA NA 742 NA NA NA NA 4215 NA NA NA NA 1787 NA NA NA
1584136800.0 10824.5 NA 262 NA NA NA NA 755 NA NA NA NA 4256 NA NA NA NA 1458 NA NA NA
1584136800.0 10824.501 NA 263 NA NA NA NA 790 NA NA NA NA 4420 NA NA NA NA 1461 NA NA NA
1584136800.0 10824.502 NA 263 NA NA NA NA 740 NA NA NA NA 4440 NA NA NA NA 1480 NA NA NA
1584136800.0 10824.6 NA 262 NA NA NA NA 727 NA NA NA NA 4258 NA NA NA NA 1588 NA NA NA
1584136800.0 10824.8 NA 262 NA NA NA NA 729 NA NA NA NA 4702 NA NA NA NA 1740 NA NA NA
1584136800.0 10825.0 NA 252 NA NA NA NA 728 NA NA NA NA 4096 NA NA NA NA 1636 NA NA NA
1584136800.0 10826.0 NA 262 NA NA NA NA 747 NA NA NA NA 4216 NA NA NA NA 1696 NA NA NA
1584136800.0 10842.0 NA 257 NA NA NA NA 717 NA NA NA NA 4120 NA NA NA NA 1594 NA NA NA
1584136800.0 10842.501 NA 257 NA NA NA NA 744 NA NA NA NA 4181 NA NA NA NA 1417 NA NA NA
1584136800.0 10842.502 NA 265 NA NA NA NA 721 NA NA NA NA 4163 NA NA NA NA 1429 NA NA NA
1584136800.0 10859.0 NA 266 NA NA NA NA 720 NA NA NA NA 4266 NA NA NA NA 1752 NA NA NA
1584136800.0 10871.0 NA 257 NA NA NA NA 773 NA NA NA NA 4193 NA NA NA NA 1573 NA NA NA
1584136800.0 109.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 11.0 NA 163 NA NA NA NA 637 NA NA NA NA 3956 NA NA NA NA 1590 NA NA NA
1584136800.0 110.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 1102.0 NA 182 NA NA NA NA 622 NA NA NA NA 5145 NA NA NA NA 2594 NA NA NA
1584136800.0 11024.0 NA 482 NA NA NA NA 983 NA NA NA NA 9327 NA NA NA NA 3822 NA NA NA
1584136800.0 11024.2 NA 494 NA NA NA NA 988 NA NA NA NA 9836 NA NA NA NA 6081 NA NA NA
1584136800.0 11024.3 NA 499 NA NA NA NA 995 NA NA NA NA 9830 NA NA NA NA 4139 NA NA NA
1584136800.0 11024.6 NA 474 NA NA NA NA 948 NA NA NA NA 9496 NA NA NA NA 4296 NA NA NA
1584136800.0 11025.0 NA 471 NA NA NA NA 955 NA NA NA NA 9310 NA NA NA NA 4033 NA NA NA
1584136800.0 111.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 112.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 11224.0 NA 229 NA NA NA NA 737 NA NA NA NA 1627 NA NA NA NA 794 NA NA NA
1584136800.0 11224.6 NA 229 NA NA NA NA 679 NA NA NA NA 1628 NA NA NA NA 801 NA NA NA
1584136800.0 113.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 114.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 115.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 116.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 11634.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 11634.501 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 11634.502 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 11634.7 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 11640.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 11646.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 11650.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 11650.501 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 11650.502 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 117.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 118.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 11834.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 11834.99 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 11846.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 119.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 12.0 NA 187 NA NA NA NA 716 NA NA NA NA 4123 NA NA NA NA 1914 NA NA NA
1584136800.0 120.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 12024.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 121.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 122.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 12434.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 125.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 126.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 12634.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 12634.99 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 127.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 128.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 12834.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 129.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 13.0 NA 176 NA NA NA NA 645 NA NA NA NA 831 NA NA NA NA 5197 NA NA NA
1584136800.0 130.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 1301.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 1301.17 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 1302.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 1302.17 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 1302.18 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 1303.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 1303.17 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 13034.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 13034.99 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1584136800.0 1304.18 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 1304.181 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 1306.0 NA 213 NA NA NA NA 667 NA NA NA NA 1604 NA NA NA NA 778 NA NA NA
1584136800.0 1307.0 NA 213 0 NA NA NA 657 0 NA NA NA 1613 0 NA NA NA 771 0 NA NA
1584136800.0 1308.0 NA 200 0 NA NA NA 697 0 NA NA NA 1631 0 NA NA NA 804 0 NA NA
1584136800.0 1309.0 NA 218 NA NA NA NA 712 NA NA NA NA 1680 NA NA NA NA 791 NA NA NA
1584136800.0 131.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1584136800.0 1310.0 NA 217 NA NA NA NA 733 NA NA NA NA 1736 NA NA NA NA 799 NA NA NA
1584136800.0 1311.0 NA 219 NA NA NA NA 662 NA NA NA NA 1625 NA NA NA NA 757 NA NA NA
1584136800.0 1312.0 NA 216 NA NA NA NA 708 NA NA NA NA 1726 NA NA NA NA 798 NA NA NA
1584136800.0 1313.0 NA 247 NA NA NA NA 697 NA NA NA NA 1564 NA NA NA NA 771 NA NA NA
1584136800.0 1314.0 NA 215 NA NA NA NA 668 NA NA NA NA 1680 NA NA NA NA 790 NA NA NA
1584136800.0 1315.0 NA 207 NA NA NA NA 657 NA NA NA NA 1647 NA NA NA NA 799 NA NA NA
1584136800.0 1316.0 NA 207 NA NA NA NA 666 NA NA NA NA 1634 NA NA NA NA 775 NA NA NA
1584136800.0 1317.0 NA 209 NA NA NA NA 669 NA NA NA NA 1664 NA NA NA NA 826 NA NA NA
1584136800.0 1318.0 NA 207 NA NA NA NA 685 NA NA NA NA 1667 NA NA NA NA 752 NA NA NA
1584136800.0 1319.0 NA 207 NA NA NA NA 692 NA NA NA NA 1659 NA NA NA NA 791 NA NA NA
