Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1600117200.0 101.0 342 NA NA NA NA 2097320 NA NA NA NA 1806 NA NA NA NA 3589 NA NA NA NA
1600117200.0 102.0 347 NA NA NA NA 2097320 NA NA NA NA 1529 NA NA NA NA 3517 NA NA NA NA
1600117200.0 1020.0 NA 209 113 0 204 NA 2097280 2097250 0 2097290 NA 566 157 124 589 NA 1278 735 715 1137
1600117200.0 123.1 847 NA NA NA NA 2097500 NA NA NA NA 4864 NA NA NA NA 6077 NA NA NA NA
1600117200.0 124.2 830 NA NA NA NA 2097500 NA NA NA NA 4825 NA NA NA NA 5464 NA NA NA NA
1600117200.0 124.5 836 NA NA NA NA 2097470 NA NA NA NA 4475 NA NA NA NA 5438 NA NA NA NA
1600117200.0 1325.516 NA 460 0 NA NA NA 2097390 0 NA NA NA 5501 243 NA NA NA 6898 1431 NA NA
1600117200.0 1325.517 NA 443 0 NA NA NA 2097390 0 NA NA NA 5646 242 NA NA NA 7707 938 NA NA
1600117200.0 136.7801 NA 361 0 NA NA NA 2097310 0 NA NA NA 1887 531 NA NA NA 3595 1433 NA NA
1600117200.0 136.7803 NA 339 0 NA NA NA 2097320 0 NA NA NA 1678 395 NA NA NA 3275 1331 NA NA
1600117200.0 136.88811 NA 483 0 NA NA NA 2097400 0 NA NA NA 6538 230 NA NA NA 6813 1172 NA NA
1600117200.0 140.54 NA 872 0 NA NA NA 2097490 0 NA NA NA 7675 746 NA NA NA 6788 1498 NA NA
1600117200.0 144.6 NA 871 NA NA NA NA 2097460 NA NA NA NA 8718 NA NA NA NA 7954 NA NA NA
1600117200.0 158.01 NA 433 0 NA NA NA 2097380 0 NA NA NA 5800 238 NA NA NA 7917 901 NA NA
1600117200.0 250199.0 576 NA NA NA NA 2097410 NA NA NA NA 8545 NA NA NA NA 7726 NA NA NA NA
1600117200.0 250199.18 716 NA NA NA NA 2097430 NA NA NA NA 11115 NA NA NA NA 10216 NA NA NA NA
1600117200.0 513.0 85 183 0 NA NA 2097240 2097270 0 NA NA 1985 302 199 NA NA 2595 771 811 NA NA
1600117200.0 527.0 83 164 0 NA NA 2097240 2097270 0 NA NA 922 288 212 NA NA 2238 1087 1122 NA NA
1600117200.0 555.0 85 165 0 NA NA 2097240 2097260 0 NA NA 951 309 209 NA NA 4189 1166 1373 NA NA
