Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1592427600.0 1.0 79 231 181 NA NA NA NA NA NA 220 743 540 NA NA NA NA NA NA 1139 505 1127 NA NA NA NA NA NA 2063 2202 1704 NA NA NA NA NA NA
1592427600.0 10.0 NA 257 298 0 NA NA NA NA NA NA 724 652 0 NA NA NA NA NA NA 2152 3375 486 NA NA NA NA NA NA 991 2624 544 NA NA NA NA NA
1592427600.0 1000.0 NA 408 145 0 50 NA NA NA NA NA 800 287 0 122 NA NA NA NA NA 2967 1070 371 275 NA NA NA NA NA 2575 1207 631 543 NA NA NA NA
1592427600.0 10001.0 NA 338 385 0 82 145 NA NA NA NA 804 756 0 143 298 NA NA NA NA 2653 1927 701 230 621 NA NA NA NA 1026 2526 835 311 909 NA NA NA
1592427600.0 10002.0 NA 338 389 0 68 152 NA NA NA NA 833 756 0 147 305 NA NA NA NA 2504 2020 686 235 638 NA NA NA NA 919 2277 1221 471 1352 NA NA NA
1592427600.0 10003.0 NA 338 388 0 67 156 NA NA NA NA 806 718 0 145 304 NA NA NA NA 2544 1967 688 239 626 NA NA NA NA 1711 3022 1137 1095 701 NA NA NA
1592427600.0 10004.0 NA 338 378 0 64 149 NA NA NA NA 818 745 0 141 305 NA NA NA NA 2663 1992 718 248 670 NA NA NA NA 1313 3129 1280 647 1569 NA NA NA
1592427600.0 10005.0 NA 338 382 0 71 151 NA NA NA NA 791 705 0 141 312 NA NA NA NA 2537 1891 662 237 634 NA NA NA NA 1139 2987 750 1065 874 NA NA NA
1592427600.0 10006.0 NA 339 377 0 66 125 NA NA NA NA 830 719 0 142 258 NA NA NA NA 2679 2003 720 244 622 NA NA NA NA 1532 2943 1471 600 1180 NA NA NA
1592427600.0 10007.0 NA 339 382 0 67 148 NA NA NA NA 803 696 0 145 299 NA NA NA NA 2684 1997 718 251 655 NA NA NA NA 1318 3119 1027 561 1208 NA NA NA
1592427600.0 10008.0 NA 337 383 0 70 163 NA NA NA NA 872 753 0 146 326 NA NA NA NA 2520 1923 688 246 634 NA NA NA NA 1486 2930 1170 1382 979 NA NA NA
1592427600.0 10009.0 NA 341 391 0 71 156 NA NA NA NA 810 748 0 148 314 NA NA NA NA 2572 1967 683 243 638 NA NA NA NA 1334 3043 1218 449 1186 NA NA NA
1592427600.0 1001.0 NA 393 110 0 0 0 0 0 0 NA 709 207 0 0 0 0 0 0 NA 2566 434 91 68 103 246 123 243 NA 2536 933 279 166 315 461 349 318
1592427600.0 1001.2 NA 401 136 0 NA NA NA NA NA NA 765 256 0 NA NA NA NA NA NA 14035 1633 101 NA NA NA NA NA NA 6239 1055 131 NA NA NA NA NA
1592427600.0 1002.0 NA 411 79 NA NA NA NA NA NA NA 751 156 NA NA NA NA NA NA NA 3170 365 NA NA NA NA NA NA NA 4589 368 NA NA NA NA NA NA
1592427600.0 10023.0 NA 339 375 0 67 127 NA NA NA NA 795 740 0 145 250 NA NA NA NA 2677 2019 722 252 641 NA NA NA NA 1346 3907 1033 699 1384 NA NA NA
1592427600.0 10024.0 NA 349 401 0 83 163 NA NA NA NA 827 744 0 146 305 NA NA NA NA 2566 2777 705 240 650 NA NA NA NA 1267 3459 1234 396 1337 NA NA NA
1592427600.0 10024.1 NA 349 206 0 NA NA NA NA NA NA 823 394 0 NA NA NA NA NA NA 2585 841 386 NA NA NA NA NA NA 1537 1639 604 NA NA NA NA NA
1592427600.0 10024.2 NA 349 403 0 NA NA NA NA NA NA 822 795 0 NA NA NA NA NA NA 2600 2137 698 NA NA NA NA NA NA 982 2867 1007 NA NA NA NA NA
1592427600.0 10024.3 NA 347 192 0 NA NA NA NA NA NA 860 342 0 NA NA NA NA NA NA 2604 815 350 NA NA NA NA NA NA 1332 1634 579 NA NA NA NA NA
1592427600.0 10024.4 NA 347 398 0 NA NA NA NA NA NA 807 809 0 NA NA NA NA NA NA 2608 2100 689 NA NA NA NA NA NA 965 2676 943 NA NA NA NA NA
1592427600.0 10024.5 NA 348 102 0 NA NA NA NA NA NA 883 243 0 NA NA NA NA NA NA 2584 375 111 NA NA NA NA NA NA 1137 466 181 NA NA NA NA NA
1592427600.0 10025.0 NA 344 387 0 69 157 NA NA NA NA 898 713 0 145 326 NA NA NA NA 2561 1989 710 243 653 NA NA NA NA 1318 2815 1547 438 1914 NA NA NA
1592427600.0 10026.0 NA 350 406 0 69 161 NA NA NA NA 823 743 0 143 336 NA NA NA NA 2617 2360 715 256 632 NA NA NA NA 1009 3561 1187 632 775 NA NA NA
1592427600.0 1003.0 NA 421 0 NA NA NA NA NA NA NA 827 0 NA NA NA NA NA NA NA 3418 353 NA NA NA NA NA NA NA 3693 685 NA NA NA NA NA NA
1592427600.0 1004.0 NA 344 86 0 0 0 0 NA NA NA 660 171 0 0 0 0 NA NA NA 986 266 71 105 251 245 NA NA NA 2229 1162 275 255 574 461 NA NA
1592427600.0 10042.0 NA 343 390 0 70 152 NA NA NA NA 869 748 0 151 304 NA NA NA NA 2595 1988 700 246 650 NA NA NA NA 1424 2978 956 1365 1918 NA NA NA
1592427600.0 10059.0 NA 356 409 0 69 158 NA NA NA NA 905 780 0 149 308 NA NA NA NA 2886 3275 775 274 719 NA NA NA NA 1636 4322 1635 852 1648 NA NA NA
1592427600.0 10071.0 NA 348 409 0 77 152 NA NA NA NA 877 754 0 144 304 NA NA NA NA 2608 2120 696 239 644 NA NA NA NA 1317 2488 796 407 805 NA NA NA
1592427600.0 101.0 83 NA NA NA NA NA NA NA NA 186 NA NA NA NA NA NA NA NA 792 NA NA NA NA NA NA NA NA 1235 NA NA NA NA NA NA NA NA
1592427600.0 1010.0 NA 34 46 0 NA NA NA NA NA NA 95 122 0 NA NA NA NA NA NA 103 215 146 NA NA NA NA NA NA 796 567 407 NA NA NA NA NA
1592427600.0 102.0 80 NA NA NA NA NA NA NA NA 176 NA NA NA NA NA NA NA NA 689 NA NA NA NA NA NA NA NA 1357 NA NA NA NA NA NA NA NA
1592427600.0 1020.0 NA 44 29 0 43 NA NA NA NA NA 149 86 0 149 NA NA NA NA NA 206 89 67 209 NA NA NA NA NA 842 428 645 586 NA NA NA NA
1592427600.0 10224.0 NA 499 618 0 156 NA NA NA NA NA 1042 988 0 319 NA NA NA NA NA 5101 4569 784 724 NA NA NA NA NA 2441 3713 995 1493 NA NA NA NA
1592427600.0 10224.15 NA 494 604 0 156 NA NA NA NA NA 998 1010 0 308 NA NA NA NA NA 5045 4787 788 723 NA NA NA NA NA 2952 4303 1242 1848 NA NA NA NA
1592427600.0 10225.0 NA 501 607 0 157 NA NA NA NA NA 994 964 0 314 NA NA NA NA NA 5029 4555 785 689 NA NA NA NA NA 3014 4601 1269 1198 NA NA NA NA
1592427600.0 103.0 35 0 0 NA NA NA NA NA NA 113 0 0 NA NA NA NA NA NA 455 258 1459 NA NA NA NA NA NA 707 520 2229 NA NA NA NA NA NA
1592427600.0 1030.0 NA 175 38 0 0 NA NA NA NA NA 331 110 0 0 NA NA NA NA NA 7093 231 59 62 NA NA NA NA NA 3084 457 212 171 NA NA NA NA
1592427600.0 1040.0 NA 360 25 0 NA NA NA NA NA NA 724 90 0 NA NA NA NA NA NA 12095 152 113 NA NA NA NA NA NA 4538 301 166 NA NA NA NA NA
1592427600.0 1040.1 NA 59 33 0 NA NA NA NA NA NA 138 90 0 NA NA NA NA NA NA 376 144 109 NA NA NA NA NA NA 1081 578 267 NA NA NA NA NA
1592427600.0 10424.0 NA 305 392 0 NA NA NA NA NA NA 752 773 0 NA NA NA NA NA NA 1158 2209 730 NA NA NA NA NA NA 841 2850 978 NA NA NA NA NA
1592427600.0 105.0 79 233 34 NA NA NA NA NA NA 217 703 90 NA NA NA NA NA NA 1021 482 105 NA NA NA NA NA NA 1286 945 323 NA NA NA NA NA NA
1592427600.0 106.0 45 0 0 NA NA NA NA NA NA 112 0 0 NA NA NA NA NA NA 447 256 1468 NA NA NA NA NA NA 799 1083 2762 NA NA NA NA NA NA
1592427600.0 107.0 72 239 270 NA NA NA NA NA NA 220 666 604 NA NA NA NA NA NA 2050 562 1803 NA NA NA NA NA NA 1729 1381 3195 NA NA NA NA NA NA
1592427600.0 108.0 78 242 283 NA NA NA NA NA NA 220 720 613 NA NA NA NA NA NA 2741 561 1823 NA NA NA NA NA NA 1669 491 2013 NA NA NA NA NA NA
1592427600.0 10801.0 NA 330 388 0 71 159 NA NA NA NA 782 703 0 140 323 NA NA NA NA 2377 1941 684 235 636 NA NA NA NA 1251 2456 1379 424 1136 NA NA NA
1592427600.0 10802.0 NA 330 385 0 66 153 NA NA NA NA 795 700 0 147 304 NA NA NA NA 2512 2010 724 253 669 NA NA NA NA 1212 3642 1223 701 1343 NA NA NA
