Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1599080400.0 1.0 77 104 182 NA NA NA NA NA NA 221 436 531 NA NA NA NA NA NA 3147 717 1894 NA NA NA NA NA NA 3556 826 2294 NA NA NA NA NA NA
1599080400.0 10.0 NA 148 288 0 NA NA NA NA NA NA 492 645 0 NA NA NA NA NA NA 2710 3900 493 NA NA NA NA NA NA 1431 2832 590 NA NA NA NA NA
1599080400.0 1000.0 NA 282 158 0 59 NA NA NA NA NA 648 319 0 126 NA NA NA NA NA 3633 1632 380 303 NA NA NA NA NA 2911 1620 624 477 NA NA NA NA
1599080400.0 10001.0 NA 209 386 0 73 129 NA NA NA NA 618 811 0 157 258 NA NA NA NA 2944 2836 757 656 868 NA NA NA NA 2062 4806 1735 953 1230 NA NA NA
1599080400.0 10002.0 NA 206 383 0 73 154 NA NA NA NA 628 808 0 157 326 NA NA NA NA 3054 2826 779 469 1604 NA NA NA NA 2076 3672 1495 722 1824 NA NA NA
1599080400.0 10003.0 NA 214 383 0 74 157 NA NA NA NA 610 754 0 156 318 NA NA NA NA 3959 2963 730 449 924 NA NA NA NA 2336 4089 2192 799 999 NA NA NA
1599080400.0 10004.0 NA 213 395 0 76 128 NA NA NA NA 562 821 0 156 267 NA NA NA NA 3432 6183 766 582 1080 NA NA NA NA 1953 7151 2207 1166 1972 NA NA NA
1599080400.0 10005.0 NA 211 393 0 73 154 NA NA NA NA 559 828 0 159 327 NA NA NA NA 3134 2731 811 544 873 NA NA NA NA 1998 4005 1453 1020 1399 NA NA NA
1599080400.0 10006.0 NA 208 389 0 74 127 NA NA NA NA 595 783 0 154 257 NA NA NA NA 2862 2813 762 571 1135 NA NA NA NA 1767 3202 1365 992 1605 NA NA NA
1599080400.0 10007.0 NA 217 388 0 73 127 NA NA NA NA 605 819 0 156 259 NA NA NA NA 2925 2910 759 731 1287 NA NA NA NA 1398 3752 1539 665 1618 NA NA NA
1599080400.0 10008.0 NA 213 382 0 74 160 NA NA NA NA 570 766 0 159 325 NA NA NA NA 2994 5049 772 669 1017 NA NA NA NA 1815 4934 2215 1117 1973 NA NA NA
