Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1598346000.0 1.0 71 101 184 NA NA NA NA NA NA 210 427 572 NA NA NA NA NA NA 1284 911 1634 NA NA NA NA NA NA 1664 1253 2181 NA NA NA NA NA NA
1598346000.0 10.0 NA 125 292 0 NA NA NA NA NA NA 537 642 0 NA NA NA NA NA NA 2315 3870 493 NA NA NA NA NA NA 1213 4089 770 NA NA NA NA NA
1598346000.0 1000.0 NA 281 152 0 65 NA NA NA NA NA 661 294 0 125 NA NA NA NA NA 3560 1414 368 279 NA NA NA NA NA 4362 1540 648 527 NA NA NA NA
1598346000.0 10001.0 NA 202 386 0 71 135 NA NA NA NA 542 795 0 155 267 NA NA NA NA 3094 3437 746 790 726 NA NA NA NA 1921 4364 1104 3010 914 NA NA NA
1598346000.0 10002.0 NA 202 391 0 72 159 NA NA NA NA 529 781 0 150 329 NA NA NA NA 3108 3119 771 569 813 NA NA NA NA 1660 4670 1847 851 1276 NA NA NA
1598346000.0 10003.0 NA 205 391 0 77 160 NA NA NA NA 613 785 0 157 331 NA NA NA NA 3145 2962 745 444 1122 NA NA NA NA 1904 4014 1082 611 2000 NA NA NA
1598346000.0 10004.0 NA 202 389 0 69 133 NA NA NA NA 600 826 0 147 264 NA NA NA NA 3019 3160 755 551 896 NA NA NA NA 1989 4380 1323 1415 2051 NA NA NA
1598346000.0 10005.0 NA 201 388 0 71 158 NA NA NA NA 603 827 0 157 334 NA NA NA NA 2996 2840 776 556 836 NA NA NA NA 2059 4620 1756 1147 1671 NA NA NA
1598346000.0 10006.0 NA 202 386 0 71 131 NA NA NA NA 576 850 0 155 258 NA NA NA NA 3234 2832 756 438 885 NA NA NA NA 2992 4089 1510 636 1891 NA NA NA
1598346000.0 10007.0 NA 200 387 0 74 133 NA NA NA NA 548 801 0 159 262 NA NA NA NA 3592 3040 763 607 881 NA NA NA NA 2501 3933 1504 946 2147 NA NA NA
1598346000.0 10008.0 NA 197 396 0 71 158 NA NA NA NA 585 804 0 155 321 NA NA NA NA 3664 3059 772 538 695 NA NA NA NA 3520 3910 1448 831 1514 NA NA NA
1598346000.0 10009.0 NA 202 392 0 73 171 NA NA NA NA 632 766 0 159 338 NA NA NA NA 3210 2703 769 768 849 NA NA NA NA 2089 5381 1408 1026 1463 NA NA NA
1598346000.0 1001.0 NA 278 126 0 0 0 0 0 0 NA 582 211 0 0 0 0 0 0 NA 3731 655 93 69 105 239 127 237 NA 4689 760 233 143 220 490 406 283
1598346000.0 1001.2 NA 408 139 0 NA NA NA NA NA NA 875 263 0 NA NA NA NA NA NA 15408 1953 112 NA NA NA NA NA NA 8666 1605 354 NA NA NA NA NA
1598346000.0 1002.0 NA 287 73 NA NA NA NA NA NA NA 598 164 NA NA NA NA NA NA NA 3579 346 NA NA NA NA NA NA NA 4780 366 NA NA NA NA NA NA
1598346000.0 10023.0 NA 196 386 0 73 130 NA NA NA NA 556 828 0 148 263 NA NA NA NA 2911 2848 751 431 923 NA NA NA NA 2070 4154 981 759 1464 NA NA NA
1598346000.0 10024.0 NA 213 404 0 76 161 NA NA NA NA 569 793 0 156 333 NA NA NA NA 3081 3129 763 591 839 NA NA NA NA 2118 4726 1856 1064 1523 NA NA NA
1598346000.0 10024.1 NA 215 212 0 NA NA NA NA NA NA 584 402 0 NA NA NA NA NA NA 2914 1690 408 NA NA NA NA NA NA 1345 1367 544 NA NA NA NA NA
1598346000.0 10024.2 NA 201 405 0 NA NA NA NA NA NA 613 770 0 NA NA NA NA NA NA 2988 2898 739 NA NA NA NA NA NA 1531 3922 827 NA NA NA NA NA
1598346000.0 10024.3 NA 203 203 0 NA NA NA NA NA NA 598 392 0 NA NA NA NA NA NA 3210 1922 359 NA NA NA NA NA NA 1680 1365 688 NA NA NA NA NA
