Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1563397200.0 1.0 95 101 220 NA NA NA NA NA NA 198 424 471 NA NA NA NA NA NA 1411 842 1958 NA NA NA NA NA NA 2710 1827 6807 NA NA NA NA NA NA
1563397200.0 10.0 NA 138 295 0 NA NA NA NA NA NA 519 626 0 NA NA NA NA NA NA 2454 3851 605 NA NA NA NA NA NA 1405 2695 722 NA NA NA NA NA
1563397200.0 1000.0 NA 320 199 0 58 NA NA NA NA NA 586 287 0 103 NA NA NA NA NA 3367 1264 731 303 NA NA NA NA NA 2145 1233 796 427 NA NA NA NA
1563397200.0 10001.0 NA 218 378 0 82 NA NA NA NA NA 555 678 0 128 NA NA NA NA NA 2741 2134 967 335 NA NA NA NA NA 998 2172 1021 372 NA NA NA NA
1563397200.0 10002.0 NA 223 373 0 82 NA NA NA NA NA 573 627 0 128 NA NA NA NA NA 2341 2204 1003 374 NA NA NA NA NA 1076 2205 1059 396 NA NA NA NA
1563397200.0 10003.0 NA 216 372 0 83 NA NA NA NA NA 517 673 0 126 NA NA NA NA NA 3223 2223 987 355 NA NA NA NA NA 1437 2219 1041 375 NA NA NA NA
1563397200.0 10004.0 NA 226 371 0 80 NA NA NA NA NA 544 651 0 126 NA NA NA NA NA 3119 2286 1021 255 NA NA NA NA NA 1109 2538 1065 381 NA NA NA NA
1563397200.0 10005.0 NA 218 385 0 82 NA NA NA NA NA 554 723 0 128 NA NA NA NA NA 2496 2160 976 342 NA NA NA NA NA 1124 2180 1029 376 NA NA NA NA
1563397200.0 10006.0 NA 230 375 0 81 NA NA NA NA NA 587 674 0 129 NA NA NA NA NA 2375 2328 1107 360 NA NA NA NA NA 895 2331 1164 399 NA NA NA NA
1563397200.0 10007.0 NA 228 385 0 78 NA NA NA NA NA 566 615 0 135 NA NA NA NA NA 2932 2241 1032 260 NA NA NA NA NA 1063 2605 1079 363 NA NA NA NA
1563397200.0 10008.0 NA 225 384 0 83 NA NA NA NA NA 581 650 0 127 NA NA NA NA NA 2952 2213 1011 261 NA NA NA NA NA 1517 2171 1077 396 NA NA NA NA
1563397200.0 10009.0 NA 222 382 0 83 NA NA NA NA NA 551 613 0 129 NA NA NA NA NA 2457 2296 971 336 NA NA NA NA NA 922 2612 1031 356 NA NA NA NA
1563397200.0 1001.0 NA 270 116 0 0 0 0 0 0 NA 530 183 0 0 0 0 0 0 NA 2916 703 118 69 113 240 110 244 NA 3599 882 363 103 154 275 154 296
