Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1626814800.0 10824.502 244 114 0 439 767 0 2535 370 223 1192 748 260
1626814800.0 10824.506 245 117 0 427 768 0 2501 367 237 1147 993 359
1626814800.0 10824.512 243 91 0 432 707 0 2520 309 146 1295 462 206
1626814800.0 10824.522 247 88 0 461 670 0 2544 293 147 1211 457 171
1626814800.0 10842.502 241 113 0 428 767 0 2497 349 208 1203 1003 243
1626814800.0 10842.506 240 114 0 441 764 0 2504 351 221 1311 1001 271
1626814800.0 11634.502 220 127 0 519 798 0 2318 575 230 3151 1093 330
1626814800.0 11634.506 228 126 0 544 793 0 2295 573 239 3082 1199 370
1626814800.0 11634.512 314 116 0 544 742 0 2207 510 149 2436 1046 206
1626814800.0 11634.522 312 119 0 538 700 0 2212 486 147 2464 549 172
1626814800.0 11650.502 214 125 0 504 786 0 2259 551 226 3114 1072 352
1626814800.0 11650.506 208 124 0 504 783 0 2256 549 229 3122 1183 343
1626814800.0 136.885502 148 89 0 272 757 0 762 559 135 1409 1217 194
1626814800.0 136.885512 145 90 0 258 697 0 746 531 151 885 485 213
1626814800.0 136.885522 150 87 0 253 675 0 756 528 139 1223 631 194
1626814800.0 136.888502 148 90 0 257 764 0 760 560 139 1396 1035 204
1626814800.0 136.888512 145 85 0 258 694 0 756 560 147 871 703 205
1626814800.0 136.888522 148 78 0 262 678 0 761 536 139 1202 512 197
