Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1626642000.0 1000.0 NA 271 139 0 53 NA NA 605 293 0 150 NA NA 3077 1090 388 338 NA NA 4381 1294 796 723 NA
1626642000.0 10003.0 NA 238 464 0 90 179 NA 459 932 0 191 420 NA 2874 2121 609 335 804 NA 2646 4247 846 705 1507
1626642000.0 10005.0 NA 242 461 0 81 178 NA 434 989 0 187 412 NA 2885 2081 612 329 797 NA 1839 3428 1478 714 1269
1626642000.0 10006.0 NA 241 453 0 79 150 NA 447 920 0 187 376 NA 2854 2054 598 332 746 NA 1889 3994 878 725 1089
1626642000.0 10007.0 NA 241 455 0 108 163 NA 440 1037 0 255 388 NA 2877 2112 609 489 767 NA 1948 3845 1064 1250 1052
1626642000.0 10009.0 NA 244 467 0 111 179 NA 442 943 0 258 419 NA 2912 2165 612 467 803 NA 1851 3820 1053 899 1739
1626642000.0 1001.2 NA 510 146 0 NA NA NA 947 315 0 NA NA NA 13890 1485 125 NA NA NA 6493 1400 266 NA NA
1626642000.0 10023.0 NA 243 458 0 81 151 NA 447 971 0 188 378 NA 2869 2089 616 344 748 NA 2058 4737 1055 950 1550
1626642000.0 10024.0 NA 254 473 0 112 182 NA 487 1038 0 260 418 NA 2916 2302 638 488 824 NA 1957 3491 1306 1630 1853
1626642000.0 10025.0 NA 243 460 0 83 181 NA 446 957 0 189 411 NA 2924 2185 621 337 807 NA 2216 4155 1251 908 1881
1626642000.0 10026.0 NA 253 485 0 83 185 NA 459 1005 0 190 414 NA 2923 2546 645 348 827 NA 2269 3439 1367 932 1117
1626642000.0 10042.0 NA 247 467 0 111 179 NA 466 858 0 259 415 NA 2890 2184 629 483 812 NA 2189 3695 1060 1491 2083
1626642000.0 10059.0 NA 259 485 0 83 184 NA 451 1002 0 191 415 NA 2954 2880 643 347 824 NA 2267 4417 1050 641 1750
1626642000.0 10225.0 NA 416 672 0 182 NA NA 657 1214 0 422 NA NA 4737 3702 655 817 NA NA 2881 4099 1405 1768 NA
1626642000.0 10801.0 NA 234 458 0 81 177 NA 431 1037 0 188 410 NA 2727 2105 609 339 822 NA 1730 3737 1201 672 1241
