Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1477299600.0 1.0 54 75 141 NA NA 107 146 182 NA NA 4071 799 599 NA NA 4221 1051 759 NA NA
1477299600.0 10.0 NA 96 218 0 NA NA 168 276 0 NA NA 5978 3528 1108 NA NA 6316 3724 1267 NA
1477299600.0 1002.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1477299600.0 10023.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1477299600.0 10024.1 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1477299600.0 10024.3 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1477299600.0 10024.4 NA 0 NA NA NA NA 0 NA NA NA NA 104 NA NA NA NA 111 NA NA NA
1477299600.0 10024.5 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1477299600.0 10026.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1477299600.0 1003.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1477299600.0 1004.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1477299600.0 101.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1477299600.0 10225.0 NA 152 309 0 NA NA 228 399 0 NA NA 5199 4036 839 NA NA 9642 4548 1009 NA
1477299600.0 103.0 0 NA NA NA NA 0 NA NA NA NA 170 NA NA NA NA 304 NA NA NA NA
1477299600.0 107.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1477299600.0 108.0 58 88 0 NA NA 108 154 0 NA NA 13788 1305 0 NA NA 13987 1557 0 NA NA
1477299600.0 109.0 58 0 NA NA NA 109 0 NA NA NA 13361 0 NA NA NA 13554 0 NA NA NA
1477299600.0 11.0 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1477299600.0 110.0 49 85 214 NA NA 96 154 265 NA NA 1684 893 909 NA NA 1822 1029 1204 NA NA
1477299600.0 1102.0 NA 99 216 124 90 NA 167 276 165 115 NA 7670 7918 2703 177 NA 7788 8185 2957 180
1477299600.0 111.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1477299600.0 112.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1477299600.0 113.0 57 85 NA NA NA 117 154 NA NA NA 10674 1216 NA NA NA 10873 1426 NA NA NA
1477299600.0 114.0 57 86 NA NA NA 111 154 NA NA NA 9434 1247 NA NA NA 9467 1371 NA NA NA
