Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1573596000.0 1.0 66 90 189 NA NA NA NA NA NA 947 950 1069 NA NA NA NA NA NA 2342 856 2905 NA NA NA NA NA NA 2400 1002 3040 NA NA NA NA NA NA
1573596000.0 10.0 NA 115 262 0 NA NA NA NA NA NA 1017 1265 0 NA NA NA NA NA NA 7526 15221 948 NA NA NA NA NA NA 7717 11441 974 NA NA NA NA NA
1573596000.0 1000.0 NA 288 165 0 67 NA NA NA NA NA 1202 1091 0 914 NA NA NA NA NA 5713 4294 2650 819 NA NA NA NA NA 6005 4431 3476 867 NA NA NA NA
1573596000.0 10001.0 NA 169 341 0 79 168 NA NA NA NA 1066 1224 0 939 1069 NA NA NA NA 2117 3852 1923 469 1248 NA NA NA NA 2250 3989 1957 540 1356 NA NA NA
1573596000.0 10002.0 NA 162 343 0 93 171 NA NA NA NA 1066 1225 0 939 1068 NA NA NA NA 2168 4499 2423 500 984 NA NA NA NA 2335 4643 2477 555 1066 NA NA NA
1573596000.0 10003.0 NA 168 335 0 76 173 NA NA NA NA 1066 1330 0 939 1172 NA NA NA NA 2861 6271 3501 662 1651 NA NA NA NA 3024 6186 3566 780 1472 NA NA NA
1573596000.0 10004.0 NA 162 341 0 71 166 NA NA NA NA 1066 1224 0 934 1065 NA NA NA NA 1538 5871 3278 656 1784 NA NA NA NA 1694 6241 3391 738 1938 NA NA NA
1573596000.0 10005.0 NA 162 339 0 75 172 NA NA NA NA 1066 1225 0 939 1068 NA NA NA NA 2645 4935 4074 753 1587 NA NA NA NA 2807 5072 4155 872 1706 NA NA NA
1573596000.0 10006.0 NA 166 340 0 78 165 NA NA NA NA 1068 1223 0 934 1061 NA NA NA NA 1912 4089 2134 387 912 NA NA NA NA 2091 4224 2165 442 967 NA NA NA
1573596000.0 10007.0 NA 170 340 0 92 175 NA NA NA NA 1068 1225 0 939 1067 NA NA NA NA 2339 3992 2191 345 972 NA NA NA NA 2469 4180 2285 397 1036 NA NA NA
1573596000.0 10008.0 NA 163 343 0 79 170 NA NA NA NA 1068 1226 0 939 1067 NA NA NA NA 2174 4696 2593 450 1151 NA NA NA NA 2356 4824 2656 506 1224 NA NA NA
1573596000.0 10009.0 NA 172 339 0 77 169 NA NA NA NA 1069 1330 0 939 1172 NA NA NA NA 1425 6567 3029 653 2171 NA NA NA NA 1580 6306 3070 774 1882 NA NA NA
1573596000.0 1001.0 NA 244 117 0 0 0 0 0 0 NA 1156 979 0 0 0 0 0 0 NA 8081 1440 213 164 243 628 239 707 NA 8237 1558 239 188 533 684 272 731
1573596000.0 1001.2 NA 317 125 0 NA NA NA NA NA NA 1233 990 0 NA NA NA NA NA NA 40965 2789 133 NA NA NA NA NA NA 41230 2852 163 NA NA NA NA NA
1573596000.0 1002.0 NA 258 76 NA NA NA NA NA NA NA 1286 941 NA NA NA NA NA NA NA 8070 809 NA NA NA NA NA NA NA 8016 831 NA NA NA NA NA NA
1573596000.0 10023.0 NA 165 330 0 77 159 NA NA NA NA 1067 1224 0 938 1059 NA NA NA NA 2491 5661 3414 678 1672 NA NA NA NA 2615 5844 3467 770 1800 NA NA NA
1573596000.0 10024.0 NA 170 336 0 78 184 NA NA NA NA 1071 1336 0 940 1175 NA NA NA NA 2171 8156 3337 574 1965 NA NA NA NA 2253 7195 3390 643 1593 NA NA NA
1573596000.0 10024.1 NA 169 196 0 NA NA NA NA NA NA 1071 1056 0 NA NA NA NA NA NA 1377 1816 593 NA NA NA NA NA NA 1828 1883 906 NA NA NA NA NA
1573596000.0 10024.2 NA 162 341 0 NA NA NA NA NA NA 1071 1333 0 NA NA NA NA NA NA 3436 4843 2018 NA NA NA NA NA NA 4102 4175 2046 NA NA NA NA NA
1573596000.0 10024.3 NA 169 176 0 NA NA NA NA NA NA 1071 1045 0 NA NA NA NA NA NA 1498 2154 518 NA NA NA NA NA NA 1887 2230 542 NA NA NA NA NA
1573596000.0 10024.4 NA 166 344 0 NA NA NA NA NA NA 1071 1331 0 NA NA NA NA NA NA 2695 5259 2255 NA NA NA NA NA NA 2793 4845 2283 NA NA NA NA NA
1573596000.0 10024.5 NA 165 91 0 NA NA NA NA NA NA 1071 951 0 NA NA NA NA NA NA 2177 962 267 NA NA NA NA NA NA 2289 1050 293 NA NA NA NA NA
1573596000.0 10025.0 NA 163 334 0 76 167 NA NA NA NA 1070 1228 0 939 1069 NA NA NA NA 2710 6038 3629 744 1814 NA NA NA NA 2819 6212 3688 850 1994 NA NA NA
1573596000.0 10026.0 NA 170 347 0 79 189 NA NA NA NA 1073 1337 0 940 1175 NA NA NA NA 2676 5745 1697 324 3007 NA NA NA NA 2817 4086 1731 392 744 NA NA NA
1573596000.0 1003.0 NA 238 0 NA NA NA NA NA NA NA 1154 0 NA NA NA NA NA NA NA 9938 1948 NA NA NA NA NA NA NA 10200 1986 NA NA NA NA NA NA
1573596000.0 1004.0 NA 196 99 0 0 0 0 NA NA NA 1099 957 0 0 0 0 NA NA NA 1748 556 123 228 456 315 NA NA NA 1966 604 154 337 846 331 NA NA
1573596000.0 10042.0 NA 172 336 0 77 169 NA NA NA NA 1070 1228 0 939 1068 NA NA NA NA 1632 5884 3296 760 1868 NA NA NA NA 1816 6036 3455 894 2175 NA NA NA
1573596000.0 10059.0 NA 171 342 0 76 174 NA NA NA NA 1077 1347 0 939 1175 NA NA NA NA 3493 15036 3420 610 3430 NA NA NA NA 3662 10919 3479 898 1139 NA NA NA
1573596000.0 10071.0 NA 176 342 0 93 171 NA NA NA NA 1072 1337 0 939 1174 NA NA NA NA 1764 8038 3998 664 2994 NA NA NA NA 1844 6288 4070 773 1512 NA NA NA
