Creation,MergeTime,id,isPr,N. of Comments,Closed,N. Labels,author
1398670524,1398917658,3541,1,19,1,4,abdoulline
1398670954,1398929001,3542,1,13,1,4,venturia
1398676651,1398834247,3543,1,3,1,4,davidlange6
1398679622,1398699866,3544,1,7,1,4,Martin-Grunewald
1398680656,1399488008,3545,1,27,1,5,arizzi
1398689440,1398794922,3546,1,5,1,4,Dr15Jones
1398689858,1398844825,3547,1,18,1,4,VinInn
1398690881,1398878523,3548,1,13,1,7,wddgit
1398694098,1398963989,3549,1,14,1,4,nancymarinelli
1398695379,1398828332,3550,1,8,1,4,Dr15Jones
1398698685,1398769189,3551,1,7,1,4,gartung
1398700223,1399988523,3552,1,8,1,5,ferencek
1398700237,1398713271,3553,1,2,1,5,ferencek
1398703067,1398758354,3554,1,6,1,4,deguio
1398703458,1398828312,3555,1,9,1,4,Dr15Jones
1398704161,1401804958,3556,1,5,1,5,ferencek
1398711443,1398728865,3557,1,2,1,6,ferencek
1398712827,1399574525,3558,1,8,1,4,jpavel
1398717742,1398835895,3559,1,2,1,5,fratnikov
1398740257,1398760812,3560,1,6,1,4,Martin-Grunewald
1398744933,1398835176,3561,1,6,1,5,ktf
1398748573,1398851279,3562,1,8,1,4,ktf
1398749346,1398774172,3563,1,7,1,4,ktf
1398757155,1398863234,3564,1,7,1,5,ianna
1398759392,1398780284,3565,1,6,1,5,ktf
1398769113,NA,3566,0,0,0,0,tomalin
1398770794,1398780520,3567,1,6,1,4,Dr15Jones
1398771953,1398772060,3568,1,1,1,4,ktf
1398772891,1398794847,3569,1,7,1,4,Dr15Jones
1398772952,1398772989,3570,1,2,1,4,ktf
