Creation,Merge,id,N. of Comments,Closed,N. Labels
1376567768,1376571458,391,0,1,0
1376567768,1376571458,392,0,1,0
1376567769,1376571458,393,0,1,0
1376567770,1376571459,394,0,1,0
1376567770,1376571459,395,0,1,0
1376567771,1376571459,396,0,1,0
1376567771,1376571459,397,0,1,0
1376567772,1376571459,398,0,1,0
1376567772,1376571459,399,0,1,0
1376567773,1376571459,400,0,1,0
1376567773,1376571459,401,0,1,0
1376567774,1376571459,402,0,1,0
1376567775,1376571433,403,0,1,0
1376567775,1376571433,404,0,1,0
1376567776,1376571434,405,0,1,0
1376567776,1376571434,406,0,1,0
1376567777,1376571434,407,0,1,0
1376567778,1376571434,408,0,1,0
1376567778,1376571434,409,0,1,0
1376567779,1376571434,410,0,1,0
1376567779,1376571434,411,0,1,0
1376567780,1376571435,412,0,1,0
1376567781,1376571435,413,0,1,0
1376567781,1376571435,414,0,1,0
1376567782,1376571435,415,0,1,0
1376567782,1376571435,416,0,1,0
1376567783,1376571435,417,0,1,0
1376567784,1376571435,418,0,1,0
1376567784,1376571435,419,0,1,0
1376567785,1376571435,420,0,1,0
