Creation,Merge,id,isPr,N. of Comments,Closed,N. Labels,author
1395133512,1395135648,2911,1,3,1,3,ojeda
1395154115,1396285613,2912,1,39,1,15,venturia
1395157279,1395239312,2913,1,5,1,4,mark-grimes
1395157883,1395216794,2914,1,5,1,3,perrotta
1395161279,1395387413,2915,1,4,1,3,dnikolop
1395162679,1395168644,2916,1,3,1,19,dnash86
1395163638,1395168620,2917,1,1,1,4,dnash86
1395164140,1395689955,2918,1,5,1,4,dnash86
1395164160,1395382486,2919,1,5,1,3,makortel
1395170840,1395653597,2920,1,6,1,4,dnash86
1395176386,1395690795,2921,0,4,1,0,fratnikov
1395180262,1395180749,2922,1,1,1,6,wmtan
1395194437,1395217537,2923,1,4,1,3,mdhildreth
1395197460,1396524283,2924,1,23,1,6,rappoccio
1395201351,1395689255,2925,1,6,1,4,fratnikov
1395217742,1396948091,2926,1,8,1,6,ptraczyk
1395219353,1395322442,2927,1,5,1,3,popovvp
1395220514,1395428242,2928,1,5,1,12,ktf
1395223512,1395387147,2929,1,7,1,3,ebouvier
1395224174,1395224489,2930,1,4,1,3,deguio
1395226891,1395232226,2931,1,4,1,3,deguio
1395234921,1395394444,2932,1,5,1,4,lveldere
1395236596,1395237249,2933,1,2,1,4,mark-grimes
1395240129,1395298672,2934,1,4,1,3,vadler
1395241138,1396329452,2935,1,5,1,5,lveldere
1395241450,1395245924,2936,1,4,1,3,lgray
1395254730,1395255267,2937,1,3,1,3,Dr15Jones
1395258798,1395264353,2938,1,3,1,3,Dr15Jones
1395263019,1395304473,2939,1,5,1,3,vadler
1395268887,1395298641,2940,1,3,1,3,Dr15Jones
